Month,Circulating Supply,Slots
1,51666666.67,1000
2,51666666.67,1050
3,51666666.67,1100
4,53333333.33,1150
5,53333333.33,1200
6,53333333.33,1260
7,195000000,1320
8,195000000,1380
9,195000000,1440
10,196666666.7,1512
11,196666666.7,1584
12,196666666.7,1656
13,297083333.3,1728
14,297083333.3,1814.4
15,297083333.3,1900.8
16,302500000,1987.2
17,302500000,2073.6
18,302500000,2177.28
19,412916666.7,2280.96
20,412916666.7,2384.64
21,412916666.7,2488.32
22,418333333.3,2612.736
23,418333333.3,2737.152
24,418333333.3,2861.568
25,483750000,2985.984
26,483750000,3135.2832
27,483750000,3284.5824
28,489166666.7,3433.8816
29,489166666.7,3583.1808
30,489166666.7,3762.33984
31,494583333.3,3941.49888
32,494583333.3,4120.65792
33,494583333.3,4299.81696
34,500000000,4514.807808
35,500000000,4729.798656
36,500000000,4944.789504
37,500000000,5159.780352
38,500000000,5417.76937
39,500000000,5675.758387
40,500000000,5933.747405
41,500000000,6191.736422
42,500000000,6449.725442
43,500000000,6707.71446
44,500000000,6965.703478
45,500000000,7223.692496
46,500000000,7481.681514
47,500000000,7739.670532
48,500000000,7997.65955
49,500000000,8255.648568
50,500000000,8513.637586
51,500000000,8771.626604
52,500000000,9029.615622
53,500000000,9287.60464
54,500000000,9545.593658
55,500000000,9803.582676
56,500000000,10061.57169
57,500000000,10319.56071
58,500000000,10577.54973
59,500000000,10835.53875
60,500000000,11093.52777
