module,parameter_name,expanded_key,type,baseline_value,lower_bound,upper_bound,distribution,source,source_quote_or_reference,scale,codebase_fidelity_note,rationale,sensitivity_method,included_in_sobol,included_in_oat,included_in_scenario_matrix,notes
M1,n_epochs,N/A,int,104,52.0,156.0,uniform,M1 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M1,random_seed,N/A,int,42,21.0,63.0,uniform,M1 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M1,repetitions,N/A,int,1,0.5,1.5,uniform,M1 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M1,initial_viewers,N/A,int,10000,5000.0,15000.0,uniform,ZEE PDF Chapter 6 Page 112,Initial participating viewer pool starts at 1.0M users.,nominal,Used directly to scale cohort populations: population = initial_viewers * share.,Ecosystem dynamics,OAT,False,True,True,
M1,adoption_profile,N/A,"typing.Literal['front_loaded', 'linear', 'back_loaded']",linear,N/A,N/A,categorical,M1 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,categorical,False,True,True,
M1,cohort_population_shares,passive_viewers,"typing.Dict[str, float]",0.6,0.3,0.8999999999999999,uniform,M1 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: passive_viewers
M1,cohort_population_shares,active_viewers,"typing.Dict[str, float]",0.3,0.15,0.44999999999999996,uniform,M1 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: active_viewers
M1,cohort_population_shares,power_users,"typing.Dict[str, float]",0.1,0.05,0.15000000000000002,uniform,M1 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: power_users
M1,claim_rate_by_cohort,passive_viewers,"typing.Dict[str, float]",0.1,0.05,0.15000000000000002,uniform,M1 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: passive_viewers
M1,claim_rate_by_cohort,active_viewers,"typing.Dict[str, float]",0.4,0.2,0.6000000000000001,uniform,M1 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: active_viewers
M1,claim_rate_by_cohort,power_users,"typing.Dict[str, float]",0.8,0.4,1.0,uniform,M1 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: power_users
M1,verification_pass_rate_by_cohort,passive_viewers,"typing.Dict[str, float]",0.5,0.25,0.75,uniform,M1 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: passive_viewers
M1,verification_pass_rate_by_cohort,active_viewers,"typing.Dict[str, float]",0.7,0.35,1.0,uniform,M1 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: active_viewers
M1,verification_pass_rate_by_cohort,power_users,"typing.Dict[str, float]",0.9,0.45,1.0,uniform,M1 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: power_users
M1,acr_issue_rate_by_cohort,passive_viewers,"typing.Dict[str, float]",10.0,5.0,1.0,uniform,M1 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: passive_viewers
M1,acr_issue_rate_by_cohort,active_viewers,"typing.Dict[str, float]",50.0,25.0,1.0,uniform,M1 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: active_viewers
M1,acr_issue_rate_by_cohort,power_users,"typing.Dict[str, float]",200.0,100.0,1.0,uniform,M1 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,Cohort breakdown: power_users
M1,vesting_lag_epochs,N/A,int,4,2.0,6.0,uniform,M1 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M1,settle_propensity_by_cohort,passive_viewers,"typing.Dict[str, float]",0.25,0.125,0.375,uniform,M1 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: passive_viewers
M1,settle_propensity_by_cohort,active_viewers,"typing.Dict[str, float]",0.3,0.15,0.44999999999999996,uniform,M1 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: active_viewers
M1,settle_propensity_by_cohort,power_users,"typing.Dict[str, float]",0.15,0.075,0.22499999999999998,uniform,M1 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: power_users
M1,settlement_ratio,N/A,float,0.1047,0.05235,0.15705,uniform,M1 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,
M1,settlement_cap_per_epoch,N/A,float,50000.0,25000.0,75000.0,uniform,M1 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M1,utility_spend_rate_by_cohort,passive_viewers,"typing.Dict[str, float]",0.1,0.05,0.15000000000000002,uniform,M1 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: passive_viewers
M1,utility_spend_rate_by_cohort,active_viewers,"typing.Dict[str, float]",0.4,0.2,0.6000000000000001,uniform,M1 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: active_viewers
M1,utility_spend_rate_by_cohort,power_users,"typing.Dict[str, float]",0.8,0.4,1.0,uniform,M1 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,Sobol,True,True,True,Cohort breakdown: power_users
M1,utility_fee_share,N/A,float,0.2,0.1,0.30000000000000004,uniform,ZEE PDF Chapter 6 Page 121,Protocol utility fee share set at 15%.,dimensionless,Percentage of user utility spend routed back to the treasury.,Ecosystem dynamics,OAT,False,True,True,
M1,utility_burn_share,N/A,float,0.05,0.025,0.07500000000000001,uniform,ZEE PDF Chapter 6 Page 121,Protocol utility burn share set at 5%.,dimensionless,Percentage of user utility spend permanently burned from supply.,Ecosystem dynamics,OAT,False,True,True,
M1,burn_enabled,N/A,bool,True,False,True,categorical,M1 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,categorical,False,True,True,
M1,brand_inflow_per_epoch,N/A,float,25000.0,12500.0,37500.0,uniform,ZEE PDF Chapter 7 Page 134,Optimal brand campaign inflow target of 112k Z1U per epoch.,simulation,"Calibrated simulation-scale inflow, mapped from the nominal inflow.",Ecosystem dynamics,Sobol,True,True,True,
M1,treasury_topup_threshold_ratio,N/A,float,0.3,0.15,0.44999999999999996,uniform,M1 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M1,treasury_topup_target_ratio,N/A,float,0.4,0.2,0.6000000000000001,uniform,M1 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M1,treasury_topup_cap_ratio_per_epoch,N/A,float,0.1,0.05,0.15000000000000002,uniform,M1 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M1,throttle_threshold_ratio,N/A,float,0.3,0.15,0.44999999999999996,uniform,M1 Spec,Default Config,dimensionless,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M1,throttle_multiplier_when_stressed,N/A,float,0.5,0.25,0.75,uniform,M1 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
M1,vesting_extension_factor,N/A,float,2.0,1.0,3.0,uniform,M1 Spec,Default Config,simulation,Ecosystem logic parameter.,Ecosystem dynamics,OAT,False,True,True,
