epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach
1,1000000.0,1.0,510000.0,9999.0,181730.76923076925,181730.76923076925,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0,0
2,1000000.0,1.0,520000.0,9999.0,363461.5384615385,363461.5384615385,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0,0
3,1000000.0,1.0,530000.0,9999.0,545192.3076923077,545192.3076923077,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0,0
4,950000.0,0.95,541539.4736842104,9999.0,726923.076923077,545192.3076923077,83076.92307692308,65320.51282051283,33333.33333333333,0,50000.0,97980.76923076925,1.959615384615385,30789.473684210527,1539.4736842105265,27710.526315789477,1539.4736842105265,1539.4736842105265,10000.0,1.0,0,0
5,900000.0000000001,0.9000000000000001,553633.3044205233,9999.0,908653.8461538462,545192.3076923077,132923.07692307694,163871.7948717949,66666.66666666666,0,49999.999999999985,245807.69230769237,4.916153846153847,41876.614726257845,2093.8307363128924,37688.953253632055,2093.8307363128924,3633.304420523419,10000.0,1.0,0,0
6,850000.0000000002,0.8500000000000002,565952.6443776708,9999.0,1090384.6153846155,545192.3076923077,162830.76923076922,282361.5384615385,99999.99999999999,0,50000.0,423542.30769230775,8.470846153846155,46386.79914295067,2319.339957147534,41748.1192286556,2319.339957147534,5952.644377670953,10000.0,1.0,0,0
7,800000.0000000002,0.8000000000000003,578372.0614077469,9999.0,1272115.384615385,545192.3076923077,180775.38461538462,412814.358974359,133333.3333333333,0,49999.99999999999,619221.5384615385,12.38443076923077,48388.3406015224,2419.41703007612,43549.50654137016,2419.41703007612,8372.061407747073,10000.0,1.0,0,0
8,750000.0000000002,0.7500000000000002,590837.697230787,9999.0,1453846.1538461545,545192.3076923077,191542.15384615387,550445.0256410257,166666.66666666663,0,49999.99999999999,825667.5384615386,16.513350769230772,49312.716460805845,2465.635823040292,44381.44481472526,2465.635823040292,10837.697230787366,10000.0,1.0,0,0
9,700000.0000000002,0.7000000000000002,603324.6358504422,9999.0,1635576.923076924,545192.3076923077,198002.2153846154,692382.4000000001,199999.99999999997,0,49999.999999999985,1038573.6000000003,20.771472000000006,49738.77239310372,2486.938619655186,44764.895153793346,2486.938619655186,13324.635850442552,10000.0,1.0,0,0
10,650000.0000000002,0.6500000000000002,615820.975834439,9999.0,1817307.6923076934,545192.3076923077,201878.2523076923,836903.7989743591,233333.33333333328,0,49999.99999999999,1255355.698461539,25.10711396923078,49926.799679936434,2496.3399839968215,44934.11971194279,2496.3399839968215,15820.975834439374,10000.0,1.0,0,0
11,600000.0000000002,0.6000000000000002,628321.0419742095,9999.0,1999038.461538463,545192.3076923077,204203.87446153848,982975.6127179489,266666.6666666666,0,49999.99999999998,1474463.4190769237,29.489268381538476,50001.322795408974,2500.066139770449,45001.190515868075,2500.066139770449,18321.04197420982,10000.0,1.0,0,0
12,550000.0000000002,0.5500000000000003,640822.2163508086,9999.0,2180769.2307692324,545192.3076923077,205599.24775384617,1129977.675323077,299999.99999999994,0,49999.999999999985,1694966.512984616,33.89933025969232,50023.48753198128,2501.174376599064,45021.13877878315,2501.174376599064,20822.216350808885,10000.0,1.0,0,0
13,500000.00000000023,0.5000000000000002,653323.3820676231,9999.0,2362500.000000002,545192.3076923077,206436.47172923075,1277537.8872451284,333333.33333333326,0,49999.999999999985,1916306.8308676928,38.32613661735385,50023.31433629012,2501.165716814506,45020.98290266111,2501.165716814506,23323.38206762339,10000.0,1.0,0,0
14,1000000.0,1.0,115824.14233290066,0.21548708122836516,2544230.7692307713,545192.3076923077,206938.80611446153,1425432.9887573333,366666.66666666657,0,50000.0,2138149.483136,42.76298966272,50015.20530554499,2500.7602652772493,45013.684774990485,2500.7602652772493,25824.142332900643,10000.0,1.0,0,0
15,950000.0,0.95,128324.42809627517,9999.0,2725961.538461541,545192.3076923077,207240.2067456,1573529.0240236307,399999.99999999994,0,50000.00000000001,2360293.5360354455,47.20587072070891,50005.71526748978,2500.2857633744893,45005.1437407408,2500.2857633744893,28324.428096275133,10000.0,1.0,0,0
16,900000.0,0.9,140824.30396390558,9999.0,2907692.3076923103,545192.3076923077,207421.04712428307,1721745.6195423836,433333.33333333326,0,50000.000000000015,2582618.4293135745,51.652368586271486,49997.51735260829,2499.8758676304146,44997.76561734747,2499.8758676304146,30824.30396390555,10000.0,1.0,0,0
17,850000.0,0.85,153323.87553717766,9999.0,3089423.07692308,545192.3076923077,207529.5513514929,1870034.5512126097,466666.6666666666,0,50000.00000000002,2805051.826818913,56.10103653637827,49991.43146544132,2499.571573272066,44992.28831889719,2499.571573272066,33323.87553717761,10000.0,1.0,0,0
18,800000.0,0.8,165823.24809760498,9999.0,3271153.8461538493,545192.3076923077,207594.65388781883,2018366.8845737195,500000.0,0,50000.00000000003,3027550.326860578,60.551006537211556,49987.4512085462,2499.37256042731,44988.70608769157,2499.37256042731,35823.24809760492,10000.0,1.0,0,0
19,750000.0,0.75,178322.51066294103,9999.0,3452884.6153846188,545192.3076923077,207633.71540961438,2166725.25894936,533333.3333333333,0,50000.00000000003,3250087.8884240375,65.00175776848074,49985.25130672095,2499.262565336048,44986.72617604886,2499.262565336048,38322.510662940964,10000.0,1.0,0,0
20,699999.9999999999,0.6999999999999998,190821.73203076574,9999.0,3634615.3846153882,545192.3076923077,207657.15232269172,2315099.2579337186,566666.6666666666,0,50000.00000000004,3472648.8869005754,69.45297773801151,49984.42735649416,2499.221367824708,44985.984620844734,2499.221367824708,40821.73203076568,10000.0,1.0,0,0
21,649999.9999999998,0.6499999999999998,203320.9620288873,9999.0,3816346.1538461577,545192.3076923077,207671.2144705381,2463482.631683308,600000.0,0,50000.00000000004,3695223.947524959,73.90447895049918,49984.599962431195,2499.2299981215597,44986.139966188086,2499.2299981215597,43320.96202888723,10000.0,1.0,0,0
22,599999.9999999998,0.5999999999999998,215820.2346407735,9999.0,3998076.923076927,545192.3076923077,207679.65175924593,2611871.630292036,633333.3333333334,0,50000.000000000044,3917807.445438051,78.35614890876103,49985.45223772491,2499.2726118862456,44986.90701395242,2499.2726118862456,45820.23464077348,10000.0,1.0,0,0
23,549999.9999999997,0.5499999999999996,228319.57145442034,9999.0,4179807.6923076967,545192.3076923077,207684.71413247063,2760264.003816247,666666.6666666667,0,50000.00000000004,4140396.0057243677,82.80792011448736,49986.73627293667,2499.336813646834,44988.062645643,2499.336813646834,48319.571454420315,10000.0,1.0,0,0
24,740818.9847823097,0.7408189847823098,0.0,0.0,4361538.461538466,545192.3076923077,207687.75155640545,2908658.402289748,700000.0000000001,0,50000.00000000003,4362987.603434619,87.25975206869236,49988.26655779457,2499.413327889729,44989.43990201511,2499.413327889729,50818.98478231004,10000.0,1.0,0,0
25,690818.9847823097,0.6908189847823097,12499.495455806573,9999.0,4543269.230769234,545192.3076923077,207689.57401076637,3057054.015732823,733333.3333333335,0,50000.000000000044,4585581.023599231,91.71162047198462,49989.90911613146,2499.495455806573,44990.91820451831,2499.495455806573,53318.48023811662,10000.0,1.0,0,0
26,640818.9847823097,0.6408189847823097,24999.073973749102,9999.0,4725000.000000002,545192.3076923077,207690.6674833829,3205450.358157642,766666.6666666669,0,50000.00000000004,4808175.53723646,96.1635107447292,49991.57035885057,2499.578517942529,44992.41332296551,2499.578517942529,55818.05875605915,10000.0,1.0,0,0
27,590818.9847823096,0.5908189847823097,37498.7333373,9999.0,4906730.76923077,545192.3076923077,207691.3235669528,3353847.1379715083,800000.0000000002,0,50000.00000000004,5030770.706957258,100.61541413914516,49993.18727101796,2499.659363550898,44993.86854391616,2499.659363550898,58317.71811961005,10000.0,1.0,0,0
28,540818.9847823096,0.5408189847823096,49998.46930725387,9999.0,5088461.538461538,545192.3076923077,207691.71721709476,3502244.180218802,833333.3333333336,0,50000.00000000003,5253366.2703282,105.06732540656401,49994.71939907747,2499.735969953874,44995.24745916973,2499.735969953874,60817.45408956392,10000.0,1.0,0,0
29,553317.2612190819,0.553317261219082,0.0,0.0,5270192.307692306,545192.3076923077,207691.95340717994,3650641.3799261525,866666.666666667,0,50000.00000000002,5475962.069889226,109.51924139778453,49996.14259037041,2499.8071295185205,44996.528331333364,2499.8071295185205,63317.261219082444,10000.0,1.0,0,0
30,503317.26121908193,0.5033172612190819,12499.872212025559,9999.0,5451923.076923074,545192.3076923077,207692.09512123105,3799038.6741095376,900000.0000000003,0,50000.00000000003,5698558.011164303,113.97116022328606,49997.44424051121,2499.8722120255607,44997.69981646009,2499.8722120255607,65817.13343110801,10000.0,1.0,0,0
31,478317.0644190095,0.4783170644190095,0.0,0.0,5633653.846153842,545192.3076923077,207692.18014966173,3947436.0249785427,933333.3333333337,0,50000.000000000044,5921154.03746781,118.4230807493562,49998.619758039444,2499.930987901972,44998.7577822355,2499.930987901972,68317.06441900998,10000.0,1.0,0,0
32,440817.0479177578,0.44081704791775783,0.0,9999.0,5815384.61538461,545192.3076923077,207692.23116672013,4095833.4098589206,966666.6666666671,0,50000.00000000003,6143750.114788377,122.87500229576753,49999.66997496776,2499.9834987483882,44999.70297747098,2499.9834987483882,70817.04791775838,10000.0,1.0,0,0
33,403317.07788147434,0.40331707788147436,0.0,9999.0,5997115.384615378,545192.3076923077,207692.26177695516,4244230.815146121,1000000.0000000005,0,50000.00000000004,6366346.222719178,127.32692445438356,50000.59927433154,2500.029963716577,45000.53934689838,2500.029963716577,73317.07788147495,10000.0,1.0,0,0
34,365817.1485940757,0.3658171485940757,0.0,9999.0,6178846.153846147,545192.3076923077,207692.28014309614,4392628.232677416,1033333.3333333337,0,50000.00000000004,6588942.34901612,131.77884698032238,50001.41425202796,2500.070712601398,45001.27282682517,2500.070712601398,75817.14859407635,10000.0,1.0,0,0
35,328317.2547326712,0.3283172547326712,0.0,9999.0,6360576.923076915,545192.3076923077,207692.29116278075,4541025.657555167,1066666.666666667,0,50000.00000000004,6811538.486332745,136.2307697266549,50002.12277190952,2500.106138595476,45001.910494718555,2500.106138595476,78317.25473267183,10000.0,1.0,0,0
36,290817.3913980522,0.29081739139805224,0.0,0.0,6542307.692307683,545192.3076923077,207692.2977745915,4689423.086840792,1100000.0000000005,0,50000.00000000003,7034134.630261183,140.68269260522365,50002.73330762118,2500.136665381059,45002.45997685906,2500.136665381059,80817.39139805289,10000.0,0.5,1,1
37,253317.5541226487,0.25331755412264867,0.0,9999.0,6633173.076923068,454326.9230769231,207692.30174167798,4837820.518771141,1133333.3333333337,0,50000.00000000003,7256730.778156707,145.13461556313413,50003.25449192933,2500.1627245964664,45002.92904273639,2500.1627245964664,83317.55412264935,10000.0,0.5,1,1
38,215817.73886340772,0.21581773886340772,0.0,9999.0,6724038.461538453,363461.5384615385,207692.30412192983,4986217.952288325,1166666.666666667,0,50000.00000000003,7479326.928432483,149.58653856864967,50003.69481518109,2500.1847407590544,45003.32533366297,2500.1847407590544,85817.73886340842,10000.0,0.5,1,1
39,178317.9419849193,0.17831794198491932,0.0,9999.0,6814903.846153838,272596.1538461539,207692.305550081,5134615.38675761,1200000.0000000005,0,50000.00000000003,7701923.08013641,154.0384616027282,50004.06243023257,2500.2031215116285,45003.656187209315,2500.2031215116285,88317.94198492005,10000.0,0.5,1,1
40,140820.09510227854,0.14082009510227855,0.0,9999.0,6905769.230769223,272596.1538461539,166153.84486851012,5233685.898721233,1233333.333333334,0,50000.00000000003,7850528.848081844,157.01057696163687,50043.06234718456,2502.1531173592284,45038.75611246611,2502.1531173592284,90820.09510227927,10000.0,0.5,1,1
41,103323.01526645554,0.10332301526645553,0.0,9999.0,6996634.615384608,272596.1538461539,141230.7684595676,5316141.026412226,1266666.6666666672,0,50000.00000000002,7974211.539618336,159.4842307923667,50058.40328354045,2502.9201641770223,45052.562955186404,2502.9201641770223,93323.01526645629,10000.0,0.5,1,1
42,65825.85085864752,0.06582585085864752,0.0,9999.0,7087499.999999993,272596.1538461539,126276.92261420208,5388626.923539644,1300000.0000000005,0,50000.00000000003,8082940.3853094615,161.65880770618924,50056.71184384002,2502.835592192001,45051.04065945602,2502.835592192001,95825.85085864831,10000.0,0.5,1,1
43,28328.250262247857,0.028328250262247858,0.0,9999.0,7178365.3846153775,272596.1538461539,117304.61510698279,5455131.282328915,1333333.333333334,0,50000.00000000002,8182696.923493369,163.65393846986737,50047.98807200712,2502.399403600356,45043.18926480642,2502.399403600356,98328.25026224866,10000.0,0.5,1,1
44,11635.023726512949,0.011635023726512948,0.0,9999.0,7269230.7692307625,272596.1538461539,111921.23060265121,5518046.718115299,1366666.6666666674,0,28328.250262247857,8298741.826910696,165.9748365382139,32700.474530258965,1635.0237265129485,29430.42707723307,1635.0237265129485,99963.27398876162,10000.0,0.5,1,1
45,10798.221991409233,0.010798221991409233,0.0,9999.0,7360096.1538461475,272596.1538461539,108691.19990005226,5578894.392695371,1399914.4074045785,0,11635.023726512949,8428249.926161159,168.56499852322318,15964.43982818469,798.2219914092345,14367.99584536622,798.2219914092345,100761.49598017085,10000.0,0.5,1,1
