epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach
1,1000000.0,1.0,550000.0,9999.0,181730.76923076925,181730.76923076925,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0
2,1000000.0,1.0,600000.0,9999.0,363461.5384615385,363461.5384615385,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0
3,1000000.0,1.0,650000.0,9999.0,545192.3076923077,545192.3076923077,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0
4,950000.0,0.95,702028.5087719298,9999.0,726923.076923077,545192.3076923077,83076.92307692308,65320.51282051283,33333.33333333333,0,50000.0,97980.76923076925,1.959615384615385,40570.17543859649,2028.508771929825,36513.15789473685,2028.508771929825,2028.508771929825,50000.0,1.0,0,0
5,900000.0000000001,0.9000000000000001,754391.4021030504,9999.0,908653.8461538462,545192.3076923077,132923.07692307694,163871.7948717949,66666.66666666666,0,49999.999999999985,245807.69230769237,4.916153846153847,47257.86662241352,2362.893331120676,42532.079960172174,2362.893331120676,4391.402103050501,50000.0,1.0,0,0
6,850000.0000000002,0.8500000000000002,806858.703947573,9999.0,1090384.6153846155,545192.3076923077,162830.76923076922,282361.5384615385,99999.99999999999,0,50000.0,423542.30769230775,8.470846153846155,49346.03689045191,2467.301844522596,44411.433201406726,2467.301844522596,6858.703947573097,50000.0,1.0,0,0
7,800000.0000000002,0.8000000000000003,859356.4114864259,9999.0,1272115.384615385,545192.3076923077,180775.38461538462,412814.358974359,133333.3333333333,0,49999.99999999999,619221.5384615385,12.38443076923077,49954.15077705766,2497.707538852883,44958.73569935189,2497.707538852883,9356.41148642598,50000.0,1.0,0,0
8,750000.0000000002,0.7500000000000002,911861.141025692,9999.0,1453846.1538461545,545192.3076923077,191542.15384615387,550445.0256410257,166666.66666666663,0,49999.99999999999,825667.5384615386,16.513350769230772,50094.59078532106,2504.7295392660535,45085.131706788954,2504.7295392660535,11861.141025692034,50000.0,1.0,0,0
9,700000.0000000002,0.7000000000000002,964366.1510491411,9999.0,1635576.923076924,545192.3076923077,198002.2153846154,692382.4000000001,199999.99999999997,0,49999.999999999985,1038573.6000000003,20.771472000000006,50100.20046898075,2505.0100234490374,45090.180422082674,2505.0100234490374,14366.151049141072,50000.0,1.0,0,0
10,650000.0000000002,0.6500000000000002,1016869.9746355904,9999.0,1817307.6923076934,545192.3076923077,201878.2523076923,836903.7989743591,233333.33333333328,0,49999.99999999999,1255355.698461539,25.10711396923078,50076.47172898737,2503.8235864493686,45068.82455608863,2503.8235864493686,16869.974635590443,50000.0,1.0,0,0
11,600000.0000000002,0.6000000000000002,1069372.6457013004,9999.0,1999038.461538463,545192.3076923077,204203.87446153848,982975.6127179489,266666.6666666666,0,49999.99999999998,1474463.4190769237,29.489268381538476,50053.42131419832,2502.671065709916,45048.07918277849,2502.671065709916,19372.64570130036,50000.0,1.0,0,0
12,550000.0000000002,0.5500000000000003,1121874.504237738,9999.0,2180769.2307692324,545192.3076923077,205599.24775384617,1129977.675323077,299999.99999999994,0,49999.999999999985,1694966.512984616,33.89933025969232,50037.170728749006,2501.8585364374503,45033.4536558741,2501.8585364374503,21874.504237737812,50000.0,1.0,0,0
13,500000.00000000023,0.5000000000000002,1174375.8612855067,9999.0,2362500.000000002,545192.3076923077,206436.47172923075,1277537.8872451284,333333.33333333326,0,49999.999999999985,1916306.8308676928,38.32613661735385,50027.140955378985,2501.357047768949,45024.426859841085,2501.357047768949,24375.86128550676,50000.0,1.0,0,0
14,1000000.0,1.0,676876.9351009885,1.3605595901325434,2544230.7692307713,545192.3076923077,206938.80611446153,1425432.9887573333,366666.66666666657,0,50000.0,2138149.483136,42.76298966272,50021.47630963109,2501.073815481555,45019.32867866799,2501.073815481555,26876.93510098831,50000.0,1.0,0,0
15,950000.0,0.95,729377.8621374028,9999.0,2725961.538461541,545192.3076923077,207240.2067456,1573529.0240236307,399999.99999999994,0,50000.00000000001,2360293.5360354455,47.20587072070891,50018.540728286716,2500.927036414336,45016.68665545805,2500.927036414336,29377.862137402648,50000.0,1.0,0,0
16,900000.0,0.9,781878.7212489799,9999.0,2907692.3076923103,545192.3076923077,207421.04712428307,1721745.6195423836,433333.33333333326,0,50000.000000000015,2582618.4293135745,51.652368586271486,50017.18223154183,2500.8591115770914,45015.46400838765,2500.8591115770914,31878.72124897974,50000.0,1.0,0,0
17,850000.0,0.85,834379.5544420809,9999.0,3089423.07692308,545192.3076923077,207529.5513514929,1870034.5512126097,466666.6666666666,0,50000.00000000002,2805051.826818913,56.10103653637827,50016.66386202129,2500.833193101065,45014.99747581916,2500.833193101065,34379.5544420808,50000.0,1.0,0,0
18,800000.0,0.8,886880.3814772015,9999.0,3271153.8461538493,545192.3076923077,207594.65388781883,2018366.8845737195,500000.0,0,50000.00000000003,3027550.326860578,60.551006537211556,50016.54070241239,2500.8270351206197,45014.886632171154,2500.8270351206197,36880.38147720142,50000.0,1.0,0,0
