epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach
1,1000000.0,1.0,550000.0,9999.0,181730.76923076925,181730.76923076925,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0
2,1000000.0,1.0,600000.0,9999.0,363461.5384615385,363461.5384615385,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0
3,1000000.0,1.0,650000.0,9999.0,545192.3076923077,545192.3076923077,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0
4,974903.8461538461,0.9749038461538462,701003.8461538462,9999.0,726923.076923077,545192.3076923077,156634.6153846154,0.0,25096.153846153848,0,25096.153846153848,1.8189894035458565e-12,3.637978807091713e-17,20076.923076923078,1003.8461538461539,18069.230769230773,1003.8461538461539,1003.8461538461539,50000.0,1.0,0,0
5,929081.7307692308,0.9290817307692307,752991.6346153846,9999.0,908653.8461538462,545192.3076923077,292543.26923076925,0.0,70918.26923076923,0,45822.11538461539,3.637978807091713e-12,7.275957614183426e-17,39755.769230769234,1987.788461538462,35780.192307692305,1987.788461538462,2991.6346153846157,50000.0,1.0,0,0
6,879081.7307692308,0.8790817307692308,805324.1961673065,9999.0,1090384.6153846155,545192.3076923077,411142.0673076923,13131.971153846154,120918.26923076923,0,50000.0,13131.971153846156,0.2626394230769231,46651.23103843914,2332.5615519219573,41986.107934595224,2332.5615519219573,5324.1961673065725,50000.0,1.0,0,0
7,829081.7307692308,0.8290817307692308,857750.0358756087,9999.0,1272115.384615385,545192.3076923077,515138.4735576923,40866.33413461538,170918.26923076925,0,50000.0,40866.33413461539,0.8173266826923078,48516.79416604326,2425.839708302163,43665.11474943894,2425.839708302163,7750.035875608736,50000.0,1.0,0,0
8,779081.7307692306,0.7790817307692306,910216.6255849834,9999.0,1453846.1538461545,545192.3076923077,606706.3936298076,81029.18329326923,220918.26923076925,0,49999.99999999999,81029.18329326925,1.620583665865385,49331.79418749551,2466.5897093747753,44398.61476874596,2466.5897093747753,10216.62558498351,50000.0,1.0,0,0
9,729081.7307692306,0.7290817307692307,962702.3943878856,9999.0,1635576.923076924,545192.3076923077,687612.7106069712,131853.635546875,270918.26923076925,0,50000.0,131853.635546875,2.6370727109375003,49715.376058044145,2485.7688029022074,44743.83845223973,2485.7688029022074,12702.394387885717,50000.0,1.0,0,0
10,679081.7307692305,0.6790817307692305,1015198.0427859835,9999.0,1817307.6923076934,545192.3076923077,759309.8814167669,191887.23396784856,320918.26923076925,0,50000.0,191887.23396784856,3.8377446793569714,49912.96796195691,2495.6483980978455,44921.67116576121,2495.6483980978455,15198.042785983562,50000.0,1.0,0,0
11,629081.7307692305,0.6290817307692306,1067699.2733262277,9999.0,1999038.461538463,545192.3076923077,823004.5056010367,259923.379014348,370918.26923076925,0,50000.0,259923.37901434797,5.19846758028696,50024.61080488262,2501.230540244131,45022.14972439436,2501.230540244131,17699.273326227692,50000.0,1.0,0,0
12,579081.7307692305,0.5790817307692305,1120203.9024316897,9999.0,2180769.2307692324,545192.3076923077,879708.6789930852,334949.9748530687,420918.26923076925,0,50000.0,334949.97485306865,6.698999497061373,50092.58210924198,2504.629105462099,45083.32389831778,2504.629105462099,20203.90243168979,50000.0,1.0,0,0
13,529081.7307692306,0.5290817307692306,1172710.692311391,9999.0,2362500.000000002,545192.3076923077,930278.8740363524,416110.54904057074,470918.26923076925,0,50000.0,416110.54904057074,8.322210980811414,50135.79759402525,2506.7898797012626,45122.21783462272,2506.7898797012626,22710.692311391052,50000.0,1.0,0,0
14,1000000.0,1.0,704300.5967363971,1.5035982430563053,2544230.7692307713,545192.3076923077,975445.6869805721,502674.5053271204,520918.26923076925,0,50000.0,502674.5053271205,10.05349010654241,50163.47311550549,2508.1736557752747,45147.12580395494,2508.1736557752747,25218.86596716633,50000.0,1.0,0,0
15,950000.0,0.95,756809.6275276189,9999.0,2725961.538461541,545192.3076923077,1015836.831581806,594014.1299566558,570918.2692307691,0,49999.99999999999,594014.1299566558,11.880282599133116,50180.615824433335,2509.0307912216667,45162.55424199,2509.0307912216667,27727.896758387997,50000.0,1.0,0,0
16,900000.0,0.9,809319.141184751,9999.0,2907692.3076923103,545192.3076923077,1051995.09237498,689586.6383942511,620918.2692307691,0,49999.999999999985,689586.6383942512,13.791732767885025,50190.27314264278,2509.513657132139,45171.2458283785,2509.513657132139,30237.410415520135,50000.0,1.0,0,0
17,850000.0,0.85,861828.8654133229,9999.0,3089423.07692308,545192.3076923077,1084392.4826409759,788920.0173590246,670918.2692307691,0,49999.999999999985,788920.0173590247,15.778400347180495,50194.48457143811,2509.7242285719058,45175.03611429429,2509.7242285719058,32747.134644092042,50000.0,1.0,0,0
18,800000.0,0.8,914338.6007902024,9999.0,3271153.8461538493,545192.3076923077,1113441.5200823313,891601.7491484382,720918.2692307691,0,50000.0,891601.7491484382,17.832034982968764,50194.70753759079,2509.7353768795397,45175.236783831715,2509.7353768795397,35256.870020971575,50000.0,1.0,0,0
