epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach
1,1000000.0,1.0,501000.0,9999.0,181730.76923076925,181730.76923076925,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0
2,1000000.0,1.0,502000.0,9999.0,363461.5384615385,363461.5384615385,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0
3,1000000.0,1.0,503000.0,9999.0,545192.3076923077,545192.3076923077,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0
4,974903.8461538461,0.9749038461538462,504380.76923076925,9999.0,726923.076923077,545192.3076923077,156634.6153846154,0.0,25096.153846153848,0,25096.153846153848,1.8189894035458565e-12,3.637978807091713e-17,7615.384615384616,380.76923076923083,6853.846153846154,380.76923076923083,380.76923076923083,1000.0,1.0,0,0
5,929081.7307692308,0.9290817307692307,506337.8846153846,9999.0,908653.8461538462,545192.3076923077,292543.26923076925,0.0,70918.26923076923,0,45822.11538461539,3.637978807091713e-12,7.275957614183426e-17,19142.307692307695,957.1153846153849,17228.076923076926,957.1153846153849,1337.8846153846157,1000.0,1.0,0,0
6,879081.7307692308,0.8790817307692308,508749.96502326,9999.0,1090384.6153846155,545192.3076923077,411142.0673076923,13131.971153846154,120918.26923076923,0,50000.0,13131.971153846156,0.2626394230769231,28241.608157507653,1412.0804078753827,25417.447341756888,1412.0804078753827,2749.965023259999,1000.0,1.0,0,0
7,829081.7307692308,0.8290817307692308,511472.06185116014,9999.0,1272115.384615385,545192.3076923077,515138.4735576923,40866.33413461538,170918.26923076925,0,50000.0,40866.33413461539,0.8173266826923078,34441.93655800329,1722.0968279001645,30997.74290220296,1722.0968279001645,4472.061851160163,1000.0,1.0,0,0
8,779081.7307692306,0.7790817307692306,514408.8662080281,9999.0,1453846.1538461545,545192.3076923077,606706.3936298076,81029.18329326923,220918.26923076925,0,49999.99999999999,81029.18329326925,1.620583665865385,38736.08713735927,1936.8043568679636,34862.47842362334,1936.8043568679636,6408.8662080281265,1000.0,1.0,0,0
9,729081.7307692306,0.7290817307692307,517496.9262137238,9999.0,1635576.923076924,545192.3076923077,687612.7106069712,131853.635546875,270918.26923076925,0,50000.0,131853.635546875,2.6370727109375003,41761.200113913575,2088.060005695679,37585.08010252222,2088.060005695679,8496.926213723806,1000.0,1.0,0,0
10,679081.7307692305,0.6790817307692305,520693.3145344971,9999.0,1817307.6923076934,545192.3076923077,759309.8814167669,191887.23396784856,320918.26923076925,0,50000.0,191887.23396784856,3.8377446793569714,43927.76641546626,2196.3883207733134,39534.989773919646,2196.3883207733134,10693.31453449712,1000.0,1.0,0,0
11,629081.7307692305,0.6290817307692306,523968.47063193686,9999.0,1999038.461538463,545192.3076923077,823004.5056010367,259923.379014348,370918.26923076925,0,50000.0,259923.37901434797,5.19846758028696,45503.121948795946,2275.156097439797,40952.80975391635,2275.156097439797,12968.470631936918,1000.0,1.0,0,0
12,579081.7307692305,0.5790817307692305,527301.6646830592,9999.0,2180769.2307692324,545192.3076923077,879708.6789930852,334949.9748530687,420918.26923076925,0,50000.0,334949.97485306865,6.698999497061373,46663.88102244802,2333.194051122401,41997.49292020322,2333.194051122401,15301.664683059318,1000.0,1.0,0,0
13,529081.7307692306,0.5290817307692306,530678.0987677785,9999.0,2362500.000000002,545192.3076923077,930278.8740363524,416110.54904057074,470918.26923076925,0,50000.0,416110.54904057074,8.322210980811414,47528.681694386396,2376.4340847193203,42775.81352494776,2376.4340847193203,17678.09876777864,1000.0,1.0,0,0
14,1000000.0,1.0,13168.763325400592,0.02544642661207968,2544230.7692307713,545192.3076923077,975445.6869805721,502674.5053271204,520918.26923076925,0,50000.0,502674.5053271205,10.05349010654241,48178.67576782935,2408.9337883914677,43360.80819104641,2408.9337883914677,20087.03255617011,1000.0,1.0,0,0
15,950000.0,0.95,16602.284638332214,9999.0,2725961.538461541,545192.3076923077,1015836.831581806,594014.1299566558,570918.2692307691,0,49999.99999999999,594014.1299566558,11.880282599133116,48670.42625863247,2433.5213129316235,43803.383632769226,2433.5213129316235,22520.553869101735,1000.0,1.0,0,0
16,900000.0,0.9,20054.489546603883,9999.0,2907692.3076923103,545192.3076923077,1051995.09237498,689586.6383942511,620918.2692307691,0,49999.999999999985,689586.6383942512,13.791732767885025,49044.098165433374,2452.204908271669,44139.688348890035,2452.204908271669,24972.758777373405,1000.0,1.0,0,0
17,850000.0,0.85,23520.925567906335,9999.0,3089423.07692308,545192.3076923077,1084392.4826409759,788920.0173590246,670918.2692307691,0,49999.999999999985,788920.0173590247,15.778400347180495,49328.72042604901,2466.4360213024506,44395.84838344411,2466.4360213024506,27439.194798675857,1000.0,1.0,0,0
18,800000.0,0.8,26998.20626119226,9999.0,3271153.8461538493,545192.3076923077,1113441.5200823313,891601.7491484382,720918.2692307691,0,50000.0,891601.7491484382,17.832034982968764,49545.61386571845,2477.2806932859226,44591.0524791466,2477.2806932859226,29916.47549196178,1000.0,1.0,0,0
19,750000.0,0.75,30483.73929763566,9999.0,3452884.6153846188,545192.3076923077,1139504.2951537338,997269.7433078049,770918.2692307691,0,50000.0,997269.7433078048,19.945394866156096,49710.660728868024,2485.533036443401,44739.59465598123,2485.533036443401,32402.008528405182,1000.0,1.0,0,0
20,700000.0,0.7,33975.53101918976,9999.0,3634615.3846153882,545192.3076923077,1162899.834782261,1105604.972910047,820918.2692307691,0,50000.000000000015,1105604.9729100468,22.112099458200937,49835.83443108199,2491.7917215540997,44852.25098797379,2491.7917215540997,34893.80024995928,1000.0,1.0,0,0
21,649999.9999999999,0.6499999999999999,37472.04354595628,9999.0,3816346.1538461577,545192.3076923077,1183910.1386163104,1216325.4383067666,870918.2692307691,0,50000.00000000001,1216325.4383067663,24.326508766135326,49930.25053533051,2496.5125267665253,44937.22548179746,2496.5125267665253,37390.3127767258,1000.0,1.0,0,0
22,599999.9999999999,0.5999999999999999,40972.08869652217,9999.0,3998076.923076927,545192.3076923077,1202785.1726653427,1329181.1734885038,920918.2692307692,0,50000.000000000015,1329181.1734885033,26.583623469770068,50000.90301131797,2500.0451505658984,45000.812710186176,2500.0451505658984,39890.35792729169,1000.0,1.0,0,0
23,550000.0,0.55,44474.748195049404,9999.0,4179807.6923076967,545192.3076923077,1219747.0369415258,1443950.07844309,970918.2692307692,0,50000.000000000015,1443950.0784430893,28.879001568861785,50053.18997054458,2502.6594985272295,45047.87097349012,2502.6594985272295,42393.01742581892,1000.0,1.0,0,0
24,500000.0,0.5,47979.312989425576,9999.0,4361538.461538466,545192.3076923077,1234993.4729240895,1560434.4116912954,1020918.2692307692,0,50000.000000000015,1560434.411691295,31.2086882338259,50091.295887523636,2504.564794376182,45082.16629877127,2504.564794376182,44897.582220195094,1000.0,1.0,0,0
25,501485.23669185705,0.5014852366918571,0.0,0.0,4543269.230769234,545192.3076923077,1248700.8386548706,1678457.8151912836,1070918.2692307692,0,50000.000000000015,1678457.8151912831,33.569156303825665,50118.47404862926,2505.923702431463,45106.626643766336,2505.923702431463,47403.50592262656,1000.0,1.0,0,0
26,454992.0996052395,0.4549920996052395,0.0,9999.0,4725000.000000002,545192.3076923077,1261026.6506700143,1797862.7724069091,1120918.2692307692,0,50000.000000000015,1797862.7724069087,35.95725544813818,50137.25826764889,2506.8629133824443,45123.532440883995,2506.8629133824443,49910.368836009,1000.0,1.0,0,0
27,408499.5807806075,0.4084995807806075,0.0,9999.0,4906730.76923077,545192.3076923077,1272111.7703352745,1918508.421972418,1170918.2692307692,0,50000.000000000015,1918508.4219724175,38.37016843944835,50149.6235073593,2507.481175367965,45134.66115662336,2507.481175367965,52417.85001137697,1000.0,1.0,0,0
28,362007.43622820417,0.3620074362282042,0.0,0.0,5088461.538461538,545192.3076923077,1282082.295697863,2040268.6658405988,1220918.2692307692,0,50000.000000000015,2040268.665840598,40.80537331681196,50157.108951935326,2507.855447596766,45141.39805674179,2507.855447596766,54925.70545897373,1000.0,1.0,0,0
29,315515.4818811558,0.3155154818811558,0.0,9999.0,5270192.307692306,545192.3076923077,1291051.2073871617,2163030.5233820695,1270918.2692307695,0,50000.00000000002,2163030.5233820686,43.26061046764137,50160.91305903344,2508.0456529516723,45144.8217531301,2508.0456529516723,57433.751111925405,1000.0,1.0,0,0
