epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach
1,1000000.0,1.0,510000.0,9999.0,259615.3846153846,259615.3846153846,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0,0
2,1000000.0,1.0,520000.0,9999.0,519230.7692307692,519230.7692307692,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0,0
3,1000000.0,1.0,530000.0,9999.0,778846.1538461538,778846.1538461538,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0,0
4,950000.0,0.95,541391.3043478262,9999.0,1038461.5384615383,778846.1538461538,179999.99999999997,29615.384615384624,49999.99999999999,0,49999.99999999999,29615.38461538463,0.5923076923076926,27826.086956521736,1391.304347826087,25043.478260869568,1391.304347826087,1391.304347826087,10000.0,1.0,0,0
5,900000.0,0.9,553323.9093400489,9999.0,1298076.9230769228,778846.1538461538,311192.30769230763,108038.46153846155,99999.99999999999,0,50000.0,108038.46153846156,2.160769230769231,38652.09984445597,1932.6049922227983,34786.889860010364,1932.6049922227983,3323.9093400488855,10000.0,1.0,0,0
6,850000.0,0.85,565516.127716864,9999.0,1557692.3076923073,778846.1538461538,409950.0,218896.15384615384,149999.99999999997,0,49999.99999999999,218896.1538461539,4.377923076923078,43844.36753630033,2192.2183768150167,39459.93078267029,2192.2183768150167,5516.127716863902,10000.0,1.0,0,0
7,799999.9999999999,0.7999999999999999,577848.4655770875,9999.0,1817307.6923076918,778846.1538461538,485899.6153846154,352561.92307692306,199999.99999999997,0,49999.99999999999,352561.9230769231,7.051238461538462,46646.757204469264,2332.3378602234634,41982.08148402233,2332.3378602234634,7848.465577087365,10000.0,1.0,0,0
8,749999.9999999999,0.7499999999999999,590259.9747025009,9999.0,2076923.0769230763,778846.1538461538,545139.3461538461,502937.5769230769,249999.99999999994,0,49999.99999999999,502937.576923077,10.05875153846154,48230.182508266735,2411.5091254133367,43407.16425744006,2411.5091254133367,10259.974702500702,10000.0,1.0,0,0
9,699999.9999999998,0.6999999999999997,602716.6418910758,9999.0,2336538.461538461,778846.1538461538,591772.8115384616,665919.4961538462,300000.0,0,50000.0,665919.496153846,13.318389923076921,49133.343771497486,2456.6671885748747,44220.00939434773,2456.6671885748747,12716.641891075575,10000.0,1.0,0,0
10,649999.9999999999,0.6499999999999999,615198.8498794783,9999.0,2596153.846153846,778846.1538461538,628700.7565384615,838606.9357692308,350000.0,0,50000.0,838606.9357692308,16.772138715384617,49644.159768052064,2482.2079884026034,44679.74379124687,2482.2079884026034,15198.849879478179,10000.0,1.0,0,0
11,599999.9999999999,0.5999999999999999,627695.202002715,9999.0,2855769.230769231,778846.1538461538,658053.7653461539,1018869.3115769231,400000.0,0,50000.0,1018869.3115769231,20.377386231538463,49927.04246473477,2496.352123236739,44934.33821826129,2496.352123236739,17695.202002714916,10000.0,1.0,0,0
