epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach
1,1000000.0,1.0,550000.0,9999.0,259615.3846153846,259615.3846153846,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0
2,1000000.0,1.0,600000.0,9999.0,519230.7692307692,519230.7692307692,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0
3,1000000.0,1.0,650000.0,9999.0,778846.1538461538,778846.1538461538,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0
4,950000.0,0.95,701869.5652173914,9999.0,1038461.5384615383,778846.1538461538,179999.99999999997,29615.384615384624,49999.99999999999,0,49999.99999999999,29615.38461538463,0.5923076923076926,37391.30434782608,1869.5652173913045,33652.17391304347,1869.5652173913045,1869.5652173913045,50000.0,1.0,0,0
5,900000.0,0.9,754116.4762927614,9999.0,1298076.9230769228,778846.1538461538,311192.30769230763,108038.46153846155,99999.99999999999,0,50000.0,108038.46153846156,2.160769230769231,44938.22150740156,2246.9110753700784,40444.39935666141,2246.9110753700784,4116.476292761383,50000.0,1.0,0,0
6,850000.0,0.85,806516.1226765282,9999.0,1557692.3076923073,778846.1538461538,409950.0,218896.15384615384,149999.99999999997,0,49999.99999999999,218896.1538461539,4.377923076923078,47992.92767533481,2399.6463837667407,43193.63490780133,2399.6463837667407,6516.1226765281235,50000.0,1.0,0,0
7,799999.9999999999,0.7999999999999999,858979.2591149354,9999.0,1817307.6923076918,778846.1538461538,485899.6153846154,352561.92307692306,199999.99999999997,0,49999.99999999999,352561.9230769231,7.051238461538462,49262.72876814703,2463.136438407352,44336.45589133233,2463.136438407352,8979.259114935476,50000.0,1.0,0,0
8,749999.9999999999,0.7499999999999999,911469.2841506603,9999.0,2076923.0769230763,778846.1538461538,545139.3461538461,502937.5769230769,249999.99999999994,0,49999.99999999999,502937.576923077,10.05875153846154,49800.5007144949,2490.025035724745,44820.450643045406,2490.025035724745,11469.28415066022,50000.0,1.0,0,0
9,699999.9999999998,0.6999999999999997,963970.8838232515,9999.0,2336538.461538461,778846.1538461538,591772.8115384616,665919.4961538462,300000.0,0,50000.0,665919.496153846,13.318389923076921,50031.993451822855,2501.599672591143,45028.79410664058,2501.599672591143,13970.883823251363,50000.0,1.0,0,0
10,649999.9999999999,0.6499999999999999,1016477.5008555035,9999.0,2596153.846153846,778846.1538461538,628700.7565384615,838606.9357692308,350000.0,0,50000.0,838606.9357692308,16.772138715384617,50132.34064504021,2506.6170322520106,45119.1065805362,2506.6170322520106,16477.500855503375,50000.0,1.0,0,0
