epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach
1,1000000.0,1.0,550000.0,9999.0,259615.3846153846,259615.3846153846,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0
2,1000000.0,1.0,600000.0,9999.0,519230.7692307692,519230.7692307692,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0
3,1000000.0,1.0,650000.0,9999.0,778846.1538461538,778846.1538461538,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0
4,960192.3076923077,0.9601923076923078,701488.4615384616,9999.0,1038461.5384615383,778846.1538461538,219807.69230769228,0.0,39807.69230769231,0,39807.69230769231,7.275957614183426e-12,1.4551915228366853e-16,29769.230769230773,1488.4615384615386,26792.307692307695,1488.4615384615386,1488.4615384615386,50000.0,1.0,0,0
5,910192.3076923076,0.9101923076923076,753644.9994214571,9999.0,1298076.9230769228,778846.1538461538,407509.6153846154,21913.46153846154,89807.69230769231,0,50000.0,21913.461538461546,0.4382692307692309,43130.757659909286,2156.5378829954643,38817.68189391836,2156.5378829954643,3644.9994214570033,50000.0,1.0,0,0
6,860192.3076923076,0.8601923076923076,805986.9139367322,9999.0,1557692.3076923073,778846.1538461538,569003.3653846154,70035.09615384616,139807.6923076923,0,50000.0,70035.09615384616,1.400701923076923,46838.29030550197,2341.914515275099,42154.46127495178,2341.914515275099,5986.913936732102,50000.0,1.0,0,0
7,810192.3076923076,0.8101923076923077,858409.691582163,9999.0,1817307.6923076918,778846.1538461538,708862.7163461539,139791.1298076923,189807.6923076923,0,50000.0,139791.1298076923,2.795822596153846,48455.55290861611,2422.7776454308055,43609.9976177545,2422.7776454308055,8409.691582162908,50000.0,1.0,0,0
8,760192.3076923076,0.7601923076923076,910870.3756587591,9999.0,2076923.0769230763,778846.1538461538,830678.4411057692,227590.78966346153,239807.6923076923,0,50000.00000000001,227590.78966346147,4.551815793269229,49213.68153192514,2460.684076596257,44292.31337873262,2460.684076596257,10870.375658759165,50000.0,1.0,0,0
9,710192.3076923076,0.7101923076923077,963350.5503961189,9999.0,2336538.461538461,778846.1538461538,937302.9712139423,330581.6441706731,289807.69230769237,0,50000.000000000015,330581.6441706729,6.611632883413458,49603.49474719637,2480.174737359819,44643.14527247673,2480.174737359819,13350.550396118984,50000.0,1.0,0,0
10,660192.3076923076,0.6601923076923076,1015841.8149364397,9999.0,2596153.846153846,778846.1538461538,1031028.0193719951,446471.98062800476,339807.69230769237,0,50000.000000000015,446471.9806280046,8.929439612560092,49825.29080641708,2491.2645403208535,44842.76172577537,2491.2645403208535,15841.814936439838,50000.0,1.0,0,0
