epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach
1,1000000.0,1.0,501000.0,9999.0,259615.3846153846,259615.3846153846,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0
2,1000000.0,1.0,502000.0,9999.0,519230.7692307692,519230.7692307692,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0
3,1000000.0,1.0,503000.0,9999.0,778846.1538461538,778846.1538461538,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0
4,960192.3076923077,0.9601923076923078,504553.8461538462,9999.0,1038461.5384615383,778846.1538461538,219807.69230769228,0.0,39807.69230769231,0,39807.69230769231,7.275957614183426e-12,1.4551915228366853e-16,11076.923076923078,553.8461538461539,9969.23076923077,553.8461538461539,553.8461538461539,1000.0,1.0,0,0
5,910192.3076923076,0.9101923076923076,506637.94397389615,9999.0,1298076.9230769228,778846.1538461538,407509.6153846154,21913.46153846154,89807.69230769231,0,50000.0,21913.461538461546,0.4382692307692309,21681.95640099972,1084.097820049986,19513.76076089975,1084.097820049986,1637.94397389614,1000.0,1.0,0,0
6,860192.3076923076,0.8601923076923076,509093.4828764227,9999.0,1557692.3076923073,778846.1538461538,569003.3653846154,70035.09615384616,139807.6923076923,0,50000.0,70035.09615384616,1.400701923076923,29110.778050531437,1455.5389025265717,26199.700245478292,1455.5389025265717,3093.4828764227123,1000.0,1.0,0,0
7,810192.3076923076,0.8101923076923077,511813.7210214572,9999.0,1817307.6923076918,778846.1538461538,708862.7163461539,139791.1298076923,189807.6923076923,0,50000.0,139791.1298076923,2.795822596153846,34404.762900690155,1720.2381450345079,30964.28661062114,1720.2381450345079,4813.721021457221,1000.0,1.0,0,0
8,760192.3076923076,0.7601923076923076,514725.90403067105,9999.0,2076923.0769230763,778846.1538461538,830678.4411057692,227590.78966346153,239807.6923076923,0,50000.00000000001,227590.78966346147,4.551815793269229,38243.660184276305,1912.1830092138152,34419.29416584867,1912.1830092138152,6725.904030671036,1000.0,1.0,0,0
9,710192.3076923076,0.7101923076923077,517779.5417101557,9999.0,2336538.461538461,778846.1538461538,937302.9712139423,330581.6441706731,289807.69230769237,0,50000.000000000015,330581.6441706729,6.611632883413458,41072.75358969465,2053.6376794847324,36965.47823072519,2053.6376794847324,8779.541710155769,1000.0,1.0,0,0
10,660192.3076923076,0.6601923076923076,520938.91980664106,9999.0,2596153.846153846,778846.1538461538,1031028.0193719951,446471.98062800476,339807.69230769237,0,50000.000000000015,446471.9806280046,8.929439612560092,43187.561929705844,2159.3780964852926,38868.80573673527,2159.3780964852926,10938.91980664106,1000.0,1.0,0,0
11,610192.3076923077,0.6101923076923077,524178.2973095004,9999.0,2855769.230769231,778846.1538461538,1113714.9036251502,573400.4809902343,389807.69230769237,0,50000.000000000015,573400.4809902343,11.468009619804686,44787.550057186236,2239.377502859312,40308.79505146762,2239.377502859312,13178.297309500373,1000.0,1.0,0,0
12,560192.3076923079,0.5601923076923079,527478.7934313598,9999.0,3115384.615384616,778846.1538461538,1186891.122705401,709839.646525368,439807.69230769237,0,50000.0,709839.6465253681,14.196792930507362,46009.9224371899,2300.4961218594954,41408.93019347092,2300.4961218594954,15478.793431359869,1000.0,1.0,0,0
13,510192.3076923078,0.5101923076923078,530826.3405772494,9999.0,3375000.000000001,778846.1538461538,1251822.5978584737,854523.5559876799,489807.69230769237,0,49999.99999999999,854523.5559876797,17.090471119753595,46950.94291779387,2347.5471458896936,42255.848626014485,2347.5471458896936,17826.34057724956,1000.0,1.0,0,0
14,994402.6227382479,0.9944026227382479,0.0,0.0,3634615.384615386,778846.1538461538,1309568.2003067976,1006393.3381547405,539807.6923076924,0,50000.0,1006393.3381547405,20.12786676309481,47679.48937380976,2383.9744686904883,42911.54043642879,2383.9744686904883,20210.315045940046,1000.0,1.0,0,0
15,944402.6227382479,0.9444026227382478,3412.2884471843972,9999.0,3894230.769230771,778846.1538461538,1361021.2684131614,1164555.6546637611,589807.6923076923,0,50000.0,1164555.6546637611,23.29111309327522,48245.768943687945,2412.2884471843972,43421.19204931914,2412.2884471843972,22622.603493124443,1000.0,1.0,0,0
16,894402.6227382479,0.8944026227382479,6846.63853599705,9999.0,4153846.153846156,778846.1538461538,1406941.4910130159,1328250.8166792914,639807.6923076924,0,50000.0,1328250.8166792914,26.565016333585827,48687.00177625303,2434.350088812652,43818.30159862773,2434.350088812652,25056.953581937094,1000.0,1.0,0,0
17,844402.6227382479,0.8444026227382478,10298.198049100818,9999.0,4413461.538461541,778846.1538461538,1447979.6024571632,1496828.0898505286,689807.6923076924,0,50000.0,1496828.0898505286,29.936561797010572,49031.19026207535,2451.559513103768,44128.071235867814,2451.559513103768,27508.513095040864,1000.0,1.0,0,0
18,794402.6227382479,0.7944026227382478,13763.18134437736,9999.0,4673076.923076926,778846.1538461538,1484696.6751608148,1669726.4017622615,739807.6923076924,0,50000.00000000001,1669726.4017622618,33.39452803524524,49299.66590553084,2464.9832952765423,44369.699314977755,2464.9832952765423,29973.496390317407,1000.0,1.0,0,0
19,744402.6227382479,0.7444026227382479,17238.62359955384,9999.0,4932692.307692311,778846.1538461538,1517579.3233424663,1846459.1381959948,789807.6923076924,0,50000.0,1846459.1381959948,36.9291827639199,49508.84510352957,2475.4422551764783,44557.96059317661,2475.4422551764783,32448.938645493887,1000.0,1.0,0,0
20,694402.6227382479,0.6944026227382478,20722.196832410275,9999.0,5192307.692307696,778846.1538461538,1547051.7908344818,2026602.0553193635,839807.6923076924,0,50000.0,2026602.0553193635,40.53204110638727,49671.46465712867,2483.5732328564336,44704.318191415805,2483.5732328564336,34932.51187835031,1000.0,1.0,0,0
21,644402.6227382479,0.6444026227382479,24212.07027447078,9999.0,5451923.076923081,778846.1538461538,1573485.6479140467,2209783.582855183,889807.6923076924,0,49999.99999999999,2209783.5828551836,44.195671657103674,49797.468841210124,2489.8734420605065,44817.72195708912,2489.8734420605065,37422.385320410816,1000.0,1.0,0,0
22,594402.6227382479,0.5944026227382478,27706.80319664168,9999.0,5711538.461538466,778846.1538461538,1597207.6404824299,2395676.9749021847,939807.6923076923,0,49999.999999999985,2395676.9749021856,47.91353949804371,49894.65844341795,2494.732922170898,44905.19259907616,2494.732922170898,39917.11824258171,1000.0,1.0,0,0
23,544402.6227382479,0.5444026227382478,31205.261887007364,9999.0,5971153.846153851,778846.1538461538,1618506.1010580831,2583993.898941916,989807.6923076923,0,49999.99999999998,2583993.898941918,51.679877978838356,49969.17380731373,2498.458690365687,44972.25642658236,2498.458690365687,42415.5769329474,1000.0,1.0,0,0
24,529109.1776105607,0.5291091776105606,0.0,0.0,6230769.230769236,778846.1538461538,1637636.2318441684,2774479.152771215,1039807.6923076923,0,49999.99999999997,2774479.152771217,55.48958305542433,50025.85970610767,2501.292985305384,45023.27373549691,2501.292985305384,44916.869918252785,1000.0,1.0,0,0
25,482612.6048315826,0.4826126048315826,0.0,9999.0,6490384.615384621,778846.1538461538,1654824.4962445935,2966906.272986175,1089807.6923076923,0,49999.99999999997,2966906.272986177,59.338125459723535,50068.54442043821,2503.4272210219106,45061.68997839438,2503.4272210219106,47420.29713927469,1000.0,1.0,0,0
26,436117.61760098784,0.43611761760098783,0.0,9999.0,6750000.000000006,778846.1538461538,1670272.2999198567,3161073.8539262963,1139807.6923076923,0,49999.99999999997,3161073.853926298,63.221477078525965,50100.25538810513,2505.0127694052567,45090.229849294614,2505.0127694052567,49925.30990867995,1000.0,1.0,0,0
27,389623.786961316,0.389623786961316,0.0,9999.0,7009615.384615391,778846.1538461538,1684159.1009308563,3356802.4375306815,1189807.692307692,0,49999.99999999997,3356802.437530683,67.13604875061365,50123.38720656214,2506.1693603281074,45111.04848590593,2506.1693603281074,52431.47926900805,1000.0,1.0,0,0
28,343130.7786288448,0.34313077862884483,0.0,9999.0,7269230.769230776,778846.1538461538,1696645.057168464,3553931.865908458,1239807.692307692,0,49999.999999999985,3553931.8659084598,71.0786373181692,50139.833350576664,2506.9916675288337,45125.850015519,2506.9916675288337,54938.47093653688,1000.0,1.0,0,0
29,296638.3331260076,0.29663833312600757,0.0,0.0,7528846.1538461605,778846.1538461538,1707873.2955082487,3752319.0121840574,1289807.692307692,0,49999.99999999998,3752319.0121840592,75.04638024368118,50151.089943254854,2507.554497162743,45135.98094892937,2507.554497162743,57446.02543369963,1000.0,0.5,1,1
30,250146.25001624986,0.25014625001624985,0.0,9999.0,7658653.8461538525,649038.4615384615,1717971.8690466022,3951835.823261088,1339807.692307692,0,49999.99999999998,3951835.8232610906,79.03671646522182,50158.337804844545,2507.9168902422275,45142.50402436008,2507.9168902422275,59953.94232394186,1000.0,0.5,1,1
31,203654.37539100976,0.20365437539100975,0.0,9999.0,7788461.538461545,519230.7692307692,1727055.454948387,4152367.621974688,1389807.692307692,0,49999.99999999998,4152367.6219746904,83.0473524394938,50162.50749519751,2508.1253747598757,45146.25674567776,2508.1253747598757,62462.067698701736,1000.0,0.5,1,1
32,157162.59193939078,0.15716259193939078,0.0,9999.0,7918269.230769237,389423.0769230769,1735226.834813658,4353811.626724802,1439807.692307692,0,49999.99999999998,4353811.626724803,87.07623253449606,50164.330967620066,2508.2165483810036,45147.897870858054,2508.2165483810036,64970.28424708273,1000.0,0.5,1,1
33,110671.28020134736,0.11067128020134735,0.0,9999.0,8048076.923076929,389423.0769230769,1632674.3451132316,4536171.80873292,1489807.692307692,0,49999.999999999985,4536171.808732921,90.72343617465843,50173.76523913107,2508.688261956554,45156.38871521797,2508.688261956554,67478.97250903929,1000.0,0.5,1,1
34,64180.8138313103,0.0641808138313103,0.0,9999.0,8177884.615384621,389423.0769230769,1545437.4404095123,4703216.405744332,1539807.692307692,0,49999.999999999985,4703216.405744333,94.06432811488666,50190.672599258854,2509.5336299629425,45171.60533933297,2509.5336299629425,69988.50613900223,1000.0,0.5,1,1
