epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach
1,1000000.0,1.0,510000.0,9999.0,90865.38461538462,90865.38461538462,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0,0
2,1000000.0,1.0,520000.0,9999.0,181730.76923076925,181730.76923076925,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0,0
3,1000000.0,1.0,530000.0,9999.0,272596.1538461539,272596.1538461539,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0,0
4,950000.0,0.95,541539.4736842104,9999.0,363461.5384615385,272596.1538461539,41538.46153846154,15993.589743589746,33333.33333333333,0,50000.0,23990.38461538462,0.47980769230769243,30789.473684210527,1539.4736842105265,27710.526315789477,1539.4736842105265,1539.4736842105265,10000.0,1.0,0,0
5,900000.0,0.9,553649.0896600756,9999.0,454326.9230769231,272596.1538461539,66461.53846153847,48602.56410256411,66666.66666666667,0,50000.0,72903.84615384617,1.4580769230769235,42192.319517303666,2109.6159758651834,37973.0875655733,2109.6159758651834,3649.08966007571,10000.0,1.0,0,0
6,850000.0,0.85,565982.7331945881,9999.0,545192.3076923077,272596.1538461539,81415.38461538461,91180.76923076925,100000.0,0,50000.0,136771.15384615387,2.7354230769230776,46672.87069024987,2333.6435345124933,42005.583621224876,2333.6435345124933,5982.733194588203,10000.0,1.0,0,0
7,800000.0,0.8,578411.1225226936,9999.0,636057.6923076925,272596.1538461539,90387.69230769231,139740.51282051284,133333.33333333334,0,50000.0,209610.76923076925,4.192215384615385,48567.78656210992,2428.3893281054957,43711.00790589892,2428.3893281054957,8411.122522693699,10000.0,1.0,0,0
8,750000.0,0.75,590881.2214927028,9999.0,726923.0769230772,272596.1538461539,95771.07692307694,191889.1794871795,166666.66666666666,0,50000.0,287833.76923076925,5.756675384615385,49401.979400184886,2470.0989700092446,44461.78146016639,2470.0989700092446,10881.221492702942,10000.0,1.0,0,0
9,699999.9999999999,0.6999999999999998,603369.6335475582,9999.0,817788.461538462,272596.1538461539,99001.1076923077,246191.2,200000.0,0,49999.99999999999,369286.8000000001,7.385736000000002,49768.241097107035,2488.412054855352,44791.41698739633,2488.412054855352,13369.633547558293,10000.0,1.0,0,0
10,649999.9999999999,0.6499999999999999,615865.6690640922,9999.0,908653.8461538467,272596.1538461539,100939.12615384615,301785.23282051284,233333.3333333333,0,49999.999999999985,452677.8492307694,9.053556984615387,49920.710330681584,2496.0355165340793,44928.63929761343,2496.0355165340793,15865.669064092373,10000.0,1.0,0,0
11,600000.0,0.6,628364.4565172317,9999.0,999519.2307692314,272596.1538461539,102101.93723076924,358154.47302564105,266666.6666666666,0,49999.999999999985,537231.7095384619,10.744634190769238,49975.74906278872,2498.787453139436,44978.17415650985,2498.787453139436,18364.45651723181,10000.0,1.0,0,0
12,550000.0,0.55,640863.8708177224,9999.0,1090384.6153846162,272596.1538461539,102799.62387692308,414988.8376615385,299999.99999999994,0,49999.99999999998,622483.256492308,12.44966512984616,49988.286009816926,2499.4143004908465,44989.45740883524,2499.4143004908465,20863.870817722658,10000.0,1.0,0,0
13,500000.0,0.5,653363.0831664866,9999.0,1181250.000000001,272596.1538461539,103218.23586461537,472102.27695589745,333333.33333333326,0,49999.999999999985,708153.4154338464,14.163068308676928,49984.246975284404,2499.21234876422,44985.822277755964,2499.21234876422,23363.083166486882,10000.0,1.0,0,0
