epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach
1,1000000.0,1.0,550000.0,9999.0,90865.38461538462,90865.38461538462,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0
2,1000000.0,1.0,600000.0,9999.0,181730.76923076925,181730.76923076925,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0
3,1000000.0,1.0,650000.0,9999.0,272596.1538461539,272596.1538461539,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0
4,950000.0,0.95,702028.5087719298,9999.0,363461.5384615385,272596.1538461539,41538.46153846154,15993.589743589746,33333.33333333333,0,50000.0,23990.38461538462,0.47980769230769243,40570.17543859649,2028.508771929825,36513.15789473685,2028.508771929825,2028.508771929825,50000.0,1.0,0,0
5,900000.0,0.9,754407.5631816396,9999.0,454326.9230769231,272596.1538461539,66461.53846153847,48602.56410256411,66666.66666666667,0,50000.0,72903.84615384617,1.4580769230769235,47581.08819419853,2379.054409709927,42822.979374778675,2379.054409709927,4407.563181639752,50000.0,1.0,0,0
6,850000.0,0.85,806883.464420382,9999.0,545192.3076923077,272596.1538461539,81415.38461538461,91180.76923076925,100000.0,0,50000.0,136771.15384615387,2.7354230769230776,49518.02477484585,2475.9012387422927,44566.22229736126,2475.9012387422927,6883.464420382044,50000.0,1.0,0,0
7,800000.0,0.8,859384.3820127182,9999.0,636057.6923076925,272596.1538461539,90387.69230769231,139740.51282051284,133333.33333333334,0,50000.0,209610.76923076925,4.192215384615385,50018.35184672088,2500.9175923360444,45016.51666204879,2500.9175923360444,9384.382012718088,50000.0,1.0,0,0
8,750000.0,0.75,911889.6247084024,9999.0,726923.0769230772,272596.1538461539,95771.07692307694,191889.1794871795,166666.66666666666,0,50000.0,287833.76923076925,5.756675384615385,50104.853913683786,2505.242695684189,45094.36852231541,2505.242695684189,11889.624708402276,50000.0,1.0,0,0
9,699999.9999999999,0.6999999999999998,964393.9492326175,9999.0,817788.461538462,272596.1538461539,99001.1076923077,246191.2,200000.0,0,49999.99999999999,369286.8000000001,7.385736000000002,50086.49048430126,2504.3245242150633,45077.84143587114,2504.3245242150633,14393.949232617339,50000.0,1.0,0,0
10,649999.9999999999,0.6499999999999999,1016896.606117975,9999.0,908653.8461538467,272596.1538461539,100939.12615384615,301785.23282051284,233333.3333333333,0,49999.999999999985,452677.8492307694,9.053556984615387,50053.13770714744,2502.656885357372,45047.8239364327,2502.656885357372,16896.60611797471,50000.0,1.0,0,0
11,600000.0,0.6,1069397.9527113396,9999.0,999519.2307692314,272596.1538461539,102101.93723076924,358154.47302564105,266666.6666666666,0,49999.999999999985,537231.7095384619,10.744634190769238,50026.93186728967,2501.346593364484,45024.2386805607,2501.346593364484,19397.952711339192,50000.0,1.0,0,0
12,550000.0,0.55,1121898.4695638714,9999.0,1090384.6153846162,272596.1538461539,102799.62387692308,414988.8376615385,299999.99999999994,0,49999.99999999998,622483.256492308,12.44966512984616,50010.33705063569,2500.5168525317845,45009.303345572116,2500.5168525317845,21898.469563870978,50000.0,1.0,0,0
13,500000.0,0.5,1174398.5265457644,9999.0,1181250.000000001,272596.1538461539,103218.23586461537,472102.27695589745,333333.33333333326,0,49999.999999999985,708153.4154338464,14.163068308676928,50001.139637861204,2500.0569818930603,45001.02567407508,2500.0569818930603,24398.526545764038,50000.0,1.0,0,0
14,1000000.0,1.0,676898.3649222613,1.3605992864672132,1272115.3846153857,272596.1538461539,103469.40305723077,529383.1610453334,366666.66666666657,0,49999.99999999999,794074.7415680003,15.881494831360007,49996.76752994042,2499.8383764970213,44997.09077694639,2499.8383764970213,26898.36492226106,50000.0,1.0,0,0
