epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach
1,1000000.0,1.0,550000.0,9999.0,90865.38461538462,90865.38461538462,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0
2,1000000.0,1.0,600000.0,9999.0,181730.76923076925,181730.76923076925,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0
3,1000000.0,1.0,650000.0,9999.0,272596.1538461539,272596.1538461539,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0
4,987451.9230769231,0.9874519230769231,700501.923076923,9999.0,363461.5384615385,272596.1538461539,78317.3076923077,0.0,12548.076923076924,0,12548.076923076924,9.094947017729282e-13,1.8189894035458566e-17,10038.461538461539,501.92307692307696,9034.615384615387,501.92307692307696,501.92307692307696,50000.0,1.0,0,0
5,964540.8653846155,0.9645408653846155,751495.8173076923,9999.0,454326.9230769231,272596.1538461539,146271.63461538462,0.0,35459.13461538462,0,22911.057692307695,1.8189894035458565e-12,3.637978807091713e-17,19877.884615384617,993.894230769231,17890.096153846152,993.894230769231,1495.8173076923078,50000.0,1.0,0,0
6,932974.8798076924,0.9329748798076923,802931.8365384615,9999.0,545192.3076923077,272596.1538461539,205571.03365384616,0.0,67025.1201923077,0,31565.985576923078,0.0,0.0,28720.384615384617,1436.019230769231,25848.34615384616,1436.019230769231,2931.836538461539,50000.0,1.0,0,0
7,894107.6983173077,0.8941076983173077,854752.8231971154,9999.0,636057.6923076925,272596.1538461539,257569.23677884616,0.0,105892.30168269231,0,38867.18149038462,0.0,0.0,36419.73317307692,1820.986658653846,32777.75985576923,1820.986658653846,4752.8231971153855,50000.0,1.0,0,0
8,849026.2737379809,0.8490262737379809,906905.5042067309,9999.0,726923.0769230772,272596.1538461539,303353.1968149038,0.0,150973.72626201925,0,45081.42457932692,0.0,0.0,43053.620192307695,2152.681009615385,38748.25817307693,2152.681009615385,6905.50420673077,50000.0,1.0,0,0
9,799026.2737379808,0.7990262737379807,959326.1244123447,9999.0,817788.461538462,272596.1538461539,343806.3553034856,412.22612680288034,200973.72626201925,0,50000.0,412.2261268028742,0.008244522536057484,48412.4041122782,2420.62020561391,43571.16370105038,2420.62020561391,9326.124412344681,50000.0,1.0,0,0
10,749026.2737379808,0.7490262737379807,1011794.9270156691,9999.0,908653.8461538467,272596.1538461539,379654.94070838345,5429.025337289657,250973.72626201925,0,50000.0,5429.025337289655,0.1085805067457931,49376.05206648753,2468.802603324377,44438.44685983878,2468.802603324377,11794.927015669058,50000.0,1.0,0,0
11,699026.2737379808,0.6990262737379808,1064284.1562508158,9999.0,999519.2307692314,272596.1538461539,411502.25280051836,14447.097860539361,300973.72626201925,0,50000.00000000001,14447.097860539354,0.2889419572107871,49784.5847029297,2489.2292351464853,44806.12623263673,2489.2292351464853,14284.156250815544,50000.0,1.0,0,0
12,649026.2737379808,0.6490262737379807,1116782.5773527713,9999.0,1090384.6153846162,272596.1538461539,439854.3394965426,26960.3957798997,350973.72626201925,0,50000.000000000015,26960.395779899685,0.5392079155979937,49968.422039113415,2498.421101955671,44971.57983520208,2498.421101955671,16782.577352771215,50000.0,1.0,0,0
13,599026.2737379808,0.5990262737379808,1169285.4419301716,9999.0,1181250.000000001,272596.1538461539,465139.4370181762,42540.68287365073,400973.72626201925,0,50000.00000000001,42540.6828736507,0.8508136574730141,50057.291548007626,2502.8645774003817,45051.56239320687,2502.8645774003817,19285.441930171593,50000.0,1.0,0,0
14,549026.2737379809,0.5490262737379809,1221790.615288986,9999.0,1272115.3846153857,272596.1538461539,487722.84349028603,60822.66101692554,450973.72626201925,0,50000.000000000015,60822.66101692552,1.2164532203385103,50103.46717628792,2505.1733588143966,45093.120458659134,2505.1733588143966,21790.61528898599,50000.0,1.0,0,0
