epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach
1,1000000.0,1.0,501000.0,9999.0,90865.38461538462,90865.38461538462,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0
2,1000000.0,1.0,502000.0,9999.0,181730.76923076925,181730.76923076925,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0
3,1000000.0,1.0,503000.0,9999.0,272596.1538461539,272596.1538461539,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0
4,987451.9230769231,0.9874519230769231,504190.3846153846,9999.0,363461.5384615385,272596.1538461539,78317.3076923077,0.0,12548.076923076924,0,12548.076923076924,9.094947017729282e-13,1.8189894035458566e-17,3807.692307692308,190.38461538461542,3426.923076923077,190.38461538461542,190.38461538461542,1000.0,1.0,0,0
5,964540.8653846155,0.9645408653846155,505668.9423076923,9999.0,454326.9230769231,272596.1538461539,146271.63461538462,0.0,35459.13461538462,0,22911.057692307695,1.8189894035458565e-12,3.637978807091713e-17,9571.153846153848,478.55769230769243,8614.038461538463,478.55769230769243,668.9423076923078,1000.0,1.0,0,0
6,932974.8798076924,0.9329748798076923,507477.9038461539,9999.0,545192.3076923077,272596.1538461539,205571.03365384616,0.0,67025.1201923077,0,31565.985576923078,0.0,0.0,16179.230769230771,808.9615384615386,14561.307692307695,808.9615384615386,1477.9038461538464,1000.0,1.0,0,0
7,894107.6983173077,0.8941076983173077,509626.7776442308,9999.0,636057.6923076925,272596.1538461539,257569.23677884616,0.0,105892.30168269231,0,38867.18149038462,0.0,0.0,22977.475961538465,1148.8737980769233,20679.728365384617,1148.8737980769233,2626.7776442307695,1000.0,1.0,0,0
8,849026.2737379809,0.8490262737379809,512106.4085817308,9999.0,726923.0769230772,272596.1538461539,303353.1968149038,0.0,150973.72626201925,0,45081.42457932692,0.0,0.0,29592.61875,1479.6309375,26633.356874999998,1479.6309375,4106.40858173077,1000.0,1.0,0,0
9,799026.2737379808,0.7990262737379807,514890.9076904084,9999.0,817788.461538462,272596.1538461539,343806.3553034856,412.22612680288034,200973.72626201925,0,50000.0,412.2261268028742,0.008244522536057484,35689.98217355261,1784.4991086776308,32120.983956197353,1784.4991086776308,5890.907690408401,1000.0,1.0,0,0
10,749026.2737379808,0.7490262737379807,517883.16335555544,9999.0,908653.8461538467,272596.1538461539,379654.94070838345,5429.025337289657,250973.72626201925,0,50000.0,5429.025337289655,0.1085805067457931,39845.113302940284,1992.2556651470143,35860.601972646255,1992.2556651470143,7883.163355555415,1000.0,1.0,0,0
