epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach,repetition_run,iteration_time
1,1000000.0,1.0,550000.0,9999.0,181730.76923076925,181730.76923076925,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0,0,0
2,1000000.0,1.0,600000.0,9999.0,363461.5384615385,363461.5384615385,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0,0,1
3,1000000.0,1.0,650000.0,9999.0,545192.3076923077,545192.3076923077,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0,0,2
4,950000.0,0.95,702000.0,9999.0,726923.076923077,545192.3076923077,131538.46153846156,192.3076923076942,50000.0,0,50000.0,192.30769230769147,0.0038461538461538295,40000.0,2000.0000000000002,36000.0,2000.0000000000002,2000.0000000000002,50000.0,1.0,0,0,0,3
5,900000.0,0.9,754319.5614441101,9999.0,908653.8461538462,545192.3076923077,230365.38461538462,33096.15384615385,100000.0,0,50000.0,33096.15384615383,0.6619230769230766,46391.2288822032,2319.56144411016,41752.10599398288,2319.56144411016,4319.561444110161,50000.0,1.0,0,0,0,4
6,850000.0000000001,0.8500000000000001,806756.1980839038,9999.0,1090384.6153846155,545192.3076923077,306328.8461538462,88863.46153846153,150000.0,0,50000.00000000001,88863.4615384615,1.7772692307692302,48732.732795874836,2436.636639793742,43859.45951628736,2436.636639793742,6756.198083903902,50000.0,1.0,0,0,0,5
7,800000.0000000001,0.8000000000000002,859238.9810383528,9999.0,1272115.384615385,545192.3076923077,365571.34615384624,161351.73076923078,200000.0,0,50000.00000000001,161351.73076923075,3.227034615384615,49655.65908898246,2482.782954449123,44690.09318008421,2482.782954449123,9238.981038353024,50000.0,1.0,0,0,0,6
8,750000.0,0.75,911739.7850654254,9999.0,1453846.1538461545,545192.3076923077,412205.36538461543,246448.4807692308,250000.00000000006,0,50000.000000000015,246448.48076923075,4.928969615384615,50016.080541450254,2500.8040270725132,45014.47248730523,2500.8040270725132,11739.785065425538,50000.0,1.0,0,0,0,7
9,700000.0,0.7,964247.3464405005,9999.0,1635576.923076924,545192.3076923077,449133.4211538462,341251.19423076924,300000.00000000006,0,50000.00000000001,341251.1942307692,6.8250238846153835,50151.22750150144,2507.5613750750717,45136.10475135129,2507.5613750750717,14247.34644050061,50000.0,1.0,0,0,0,8
10,650000.0,0.65,1016757.1417988532,9999.0,1817307.6923076934,545192.3076923077,478486.4521153846,443628.9325,350000.00000000006,0,50000.00000000001,443628.93249999994,8.87257865,50195.907167055644,2509.7953583527824,45176.31645035008,2509.7953583527824,16757.141798853394,50000.0,1.0,0,0,0,9
11,600000.0,0.6,1069267.3623877768,9999.0,1999038.461538463,545192.3076923077,501874.20328846155,551971.9505576923,400000.0000000001,0,50000.00000000001,551971.9505576922,11.039439011153844,50204.411778473805,2510.2205889236902,45183.97060062642,2510.2205889236902,19267.362387777084,50000.0,1.0,0,0,0,10
12,550000.0,0.55,1121777.2981222542,9999.0,2180769.2307692324,545192.3076923077,520537.074075,665039.8490019231,450000.0000000001,0,50000.000000000015,665039.8490019229,13.300796980038458,50198.71468954775,2509.9357344773875,45178.84322059297,2509.9357344773875,21777.298122254473,50000.0,1.0,0,0,0,11
13,1000000.0,1.0,674286.68506901,1.5068174960550078,2362500.000000002,545192.3076923077,535443.7069575001,781863.9853501923,500000.00000000006,0,50000.00000000001,781863.9853501921,15.637279707003842,50187.73893511658,2509.3869467558293,45168.96504160492,2509.3869467558293,24286.685069010302,50000.0,1.0,0,0,0,12
14,950000.0,0.95,726795.4407502019,9999.0,2544230.7692307713,545192.3076923077,547357.1816559809,901681.2798824807,550000.0000000001,0,50000.000000000015,901681.2798824805,18.03362559764961,50175.1136238389,2508.7556811919453,45157.60226145502,2508.7556811919453,26795.440750202244,50000.0,1.0,0,0,0,13
15,900000.0,0.9,779303.5563495313,9999.0,2725961.538461541,545192.3076923077,556882.0456641751,1023887.1851050557,600000.0000000001,0,50000.00000000001,1023887.1851050556,20.47774370210111,50162.31198658778,2508.115599329389,45146.080787929,2508.115599329389,29303.55634953163,50000.0,1.0,0,0,0,14
16,850000.0000000001,0.8500000000000001,831811.0526482149,9999.0,2907692.3076923103,545192.3076923077,564498.9790060691,1148001.020993931,650000.0000000001,0,50000.00000000001,1148001.0209939305,22.96002041987861,50149.92597367177,2507.496298683589,45134.93337630459,2507.496298683589,31811.052648215216,50000.0,1.0,0,0,0,15
17,800000.0000000001,0.8000000000000002,884317.9619238188,9999.0,3089423.07692308,545192.3076923077,570591.0467493804,1273639.7224813888,700000.0000000001,0,50000.000000000015,1273639.7224813886,25.472794449627774,50138.18551207697,2506.9092756038485,45124.36696086928,2506.9092756038485,34317.961923819064,50000.0,1.0,0,0,0,16
18,750000.0000000002,0.7500000000000002,936824.3204484354,9999.0,3271153.8461538493,545192.3076923077,575463.9614793529,1400497.5769821857,750000.0000000001,0,50000.0,1400497.5769821855,28.00995153964371,50127.17049233099,2506.3585246165494,45114.45344309788,2506.3585246165494,36824.32044843561,50000.0,1.0,0,0,0,17
