epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach,repetition_run,iteration_time
1,1000000.0,1.0,501000.0,9999.0,181730.76923076925,181730.76923076925,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0,0,0
2,1000000.0,1.0,502000.0,9999.0,363461.5384615385,363461.5384615385,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0,0,1
3,1000000.0,1.0,503000.0,9999.0,545192.3076923077,545192.3076923077,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0,0,2
4,950000.0,0.95,504758.6206896552,9999.0,726923.076923077,545192.3076923077,131538.46153846156,192.3076923076942,50000.0,0,50000.0,192.30769230769147,0.0038461538461538295,15172.41379310345,758.6206896551724,13655.172413793105,758.6206896551724,758.6206896551724,1000.0,1.0,0,0,0,3
5,900000.0,0.9,507044.06646769185,9999.0,908653.8461538462,545192.3076923077,230365.38461538462,33096.15384615385,100000.0,0,50000.0,33096.15384615383,0.6619230769230766,25708.91556073387,1285.4457780366934,23138.02400466048,1285.4457780366934,2044.066467691866,1000.0,1.0,0,0,0,4
6,850000.0000000001,0.8500000000000001,509691.64899010415,9999.0,1090384.6153846155,545192.3076923077,306328.8461538462,88863.46153846153,150000.0,0,50000.00000000001,88863.4615384615,1.7772692307692302,32951.650448244945,1647.582522412247,29656.485403420447,1647.582522412247,3691.648990104113,1000.0,1.0,0,0,0,5
7,800000.0000000001,0.8000000000000002,512589.9820363568,9999.0,1272115.384615385,545192.3076923077,365571.34615384624,161351.73076923078,200000.0,0,50000.00000000001,161351.73076923075,3.227034615384615,37966.66092505222,1898.3330462526112,34169.994832546996,1898.3330462526112,5589.982036356725,1000.0,1.0,0,0,0,6
8,750000.0,0.75,515663.3797526828,9999.0,1453846.1538461545,545192.3076923077,412205.36538461543,246448.4807692308,250000.00000000006,0,50000.000000000015,246448.48076923075,4.928969615384615,41467.95432651958,2073.3977163259797,37321.15889386763,2073.3977163259797,7663.379752682704,1000.0,1.0,0,0,0,7
9,700000.0,0.7,518859.97543515585,9999.0,1635576.923076924,545192.3076923077,449133.4211538462,341251.19423076924,300000.00000000006,0,50000.00000000001,341251.1942307692,6.8250238846153835,43931.91364946042,2196.595682473021,39538.72228451438,2196.595682473021,9859.975435155724,1000.0,1.0,0,0,0,8
10,650000.0,0.65,522143.8837370397,9999.0,1817307.6923076934,545192.3076923077,478486.4521153846,443628.9325,350000.00000000006,0,50000.00000000001,443628.93249999994,8.87257865,45678.16603767638,2283.9083018838196,41110.34943390875,2283.9083018838196,12143.883737039545,1000.0,1.0,0,0,0,9
11,600000.0,0.6,525490.0375990673,9999.0,1999038.461538463,545192.3076923077,501874.20328846155,551971.9505576923,400000.0000000001,0,50000.00000000001,551971.9505576922,11.039439011153844,46923.07724055304,2346.153862027652,42230.769516497734,2346.153862027652,14490.037599067196,1000.0,1.0,0,0,0,10
12,550000.0,0.55,528880.7681372113,9999.0,2180769.2307692324,545192.3076923077,520537.074075,665039.8490019231,450000.0000000001,0,50000.000000000015,665039.8490019229,13.300796980038458,47814.61076288145,2390.730538144073,43033.14968659331,2390.730538144073,16880.768137211267,1000.0,1.0,0,0,0,11
13,1000000.0,1.0,32303.519412676338,0.06505235488667342,2362500.000000002,545192.3076923077,535443.7069575001,781863.9853501923,500000.00000000006,0,50000.00000000001,781863.9853501921,15.637279707003842,48455.02550930469,2422.751275465235,43609.52295837422,2422.751275465235,19303.5194126765,1000.0,1.0,0,0,0,12
14,950000.0,0.95,35749.30587628227,9999.0,2544230.7692307713,545192.3076923077,547357.1816559809,901681.2798824807,550000.0000000001,0,50000.000000000015,901681.2798824805,18.03362559764961,48915.729272118646,2445.7864636059326,44024.15634490678,2445.7864636059326,21749.305876282433,1000.0,1.0,0,0,0,13
15,900000.0,0.9,39211.659723939134,9999.0,2725961.538461541,545192.3076923077,556882.0456641751,1023887.1851050557,600000.0000000001,0,50000.00000000001,1023887.1851050556,20.47774370210111,49247.076953137264,2462.3538476568633,44322.36925782354,2462.3538476568633,24211.659723939294,1000.0,1.0,0,0,0,14
16,850000.0000000001,0.8500000000000001,42685.90457333787,9999.0,2907692.3076923103,545192.3076923077,564498.9790060691,1148001.020993931,650000.0000000001,0,50000.00000000001,1148001.0209939305,22.96002041987861,49484.8969879747,2474.244849398735,44536.40728917724,2474.244849398735,26685.904573338026,1000.0,1.0,0,0,0,15
17,800000.0000000001,0.8000000000000002,46168.6488329849,9999.0,3089423.07692308,545192.3076923077,570591.0467493804,1273639.7224813888,700000.0000000001,0,50000.000000000015,1273639.7224813886,25.472794449627774,49654.88519294069,2482.7442596470346,44689.396673646625,2482.7442596470346,29168.64883298506,1000.0,1.0,0,0,0,16
18,750000.0000000002,0.7500000000000002,49657.428643216226,9999.0,3271153.8461538493,545192.3076923077,575463.9614793529,1400497.5769821857,750000.0000000001,0,50000.0,1400497.5769821855,28.00995153964371,49775.596204626454,2488.7798102313227,44798.03658416381,2488.7798102313227,31657.428643216383,1000.0,1.0,0,0,0,17
19,700000.0000000002,0.7000000000000002,53150.45381103589,9999.0,3452884.6153846188,545192.3076923077,579361.9235310778,1528330.3841612302,800000.0000000002,0,50000.00000000001,1528330.38416123,30.5666076832246,49860.503356393245,2493.0251678196623,44874.453020753914,2493.0251678196623,34150.453811036044,1000.0,1.0,0,0,0,18
20,650000.0000000002,0.6500000000000002,56646.425461412844,9999.0,3634615.3846153882,545192.3076923077,582480.108306348,1656942.9686167291,850000.0000000002,0,50000.0,1656942.968616729,33.13885937233458,49919.433007539104,2495.971650376955,44927.4897067852,2495.971650376955,36646.425461413,1000.0,1.0,0,0,0,19
21,600000.0000000002,0.6000000000000002,60144.40416355079,9999.0,3816346.1538461577,545192.3076923077,584974.5636935127,1786179.2824603335,900000.0000000002,0,50000.000000000015,1786179.2824603333,35.72358564920667,49959.5740427589,2497.978702137945,44963.61663848301,2497.978702137945,39144.40416355094,1000.0,1.0,0,0,0,20
22,550000.0000000002,0.5500000000000003,63643.713940171714,9999.0,3998076.923076927,545192.3076923077,586970.0817867195,1915914.5335978959,950000.0000000002,0,50000.0,1915914.5335978959,38.31829067195792,49986.195532418584,2499.3097766209294,44987.57597917673,2499.3097766209294,41643.71394017187,1000.0,1.0,0,0,0,21
23,500000.0000000002,0.5000000000000002,67143.87202156043,9999.0,4179807.6923076967,545192.3076923077,588566.4731530226,2046048.911462362,1000000.0000000001,0,50000.00000000001,2046048.9114623617,40.92097822924723,50003.16162777439,2500.1580813887194,45002.84546499695,2500.1580813887194,44143.872021560586,1000.0,1.0,0,0,0,22
24,520644.53722288186,0.5206445372228818,0.0,0.0,4361538.461538466,545192.3076923077,589843.5746919338,2176502.57915422,1050000.0,0,49999.99999999999,2176502.57915422,43.5300515830844,50013.30402642511,2500.6652013212556,45011.9736237826,2500.6652013212556,46644.537222881845,1000.0,1.0,0,0,0,23
