epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach,repetition_run,iteration_time
1,1000000.0,1.0,501000.0,9999.0,181730.76923076925,181730.76923076925,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0,0,0
2,1000000.0,1.0,502000.0,9999.0,363461.5384615385,363461.5384615385,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0,0,1
3,1000000.0,1.0,503000.0,9999.0,545192.3076923077,545192.3076923077,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0,0,2
4,950000.0,0.95,504769.7368421052,9999.0,726923.076923077,545192.3076923077,83076.92307692308,65320.51282051283,33333.33333333333,0,50000.0,97980.76923076925,1.959615384615385,15394.736842105263,769.7368421052632,13855.263157894738,769.7368421052632,769.7368421052632,1000.0,1.0,0,0,0,3
5,900000.0000000001,0.9000000000000001,507082.3320348231,9999.0,908653.8461538462,545192.3076923077,132923.07692307694,163871.7948717949,66666.66666666666,0,49999.999999999985,245807.69230769237,4.916153846153847,26251.90385435699,1312.5951927178496,23626.71346892129,1312.5951927178496,2082.3320348231127,1000.0,1.0,0,0,0,4
6,850000.0000000002,0.8500000000000002,509767.61309803784,9999.0,1090384.6153846155,545192.3076923077,162830.76923076922,282361.5384615385,99999.99999999999,0,50000.0,423542.30769230775,8.470846153846155,33705.6212642947,1685.281063214735,30335.059137865224,1685.281063214735,3767.6130980378475,1000.0,1.0,0,0,0,5
7,800000.0000000002,0.8000000000000003,512706.4318047352,9999.0,1272115.384615385,545192.3076923077,180775.38461538462,412814.358974359,133333.3333333333,0,49999.99999999999,619221.5384615385,12.38443076923077,38776.374133948266,1938.8187066974133,34898.73672055344,1938.8187066974133,5706.431804735261,1000.0,1.0,0,0,0,6
8,750000.0000000002,0.7500000000000002,515817.4108235162,9999.0,1453846.1538461545,545192.3076923077,191542.15384615387,550445.0256410257,166666.66666666663,0,49999.99999999999,825667.5384615386,16.513350769230772,42219.5803756199,2110.979018780995,37997.62233805792,2110.979018780995,7817.410823516257,1000.0,1.0,0,0,0,7
9,700000.0000000002,0.7000000000000002,519045.51040219824,9999.0,1635576.923076924,545192.3076923077,198002.2153846154,692382.4000000001,199999.99999999997,0,49999.999999999985,1038573.6000000003,20.771472000000006,44561.99157364186,2228.099578682093,40105.792416277676,2228.099578682093,10045.51040219835,1000.0,1.0,0,0,0,8
10,650000.0000000002,0.6500000000000002,522353.6102998599,9999.0,1817307.6923076934,545192.3076923077,201878.2523076923,836903.7989743591,233333.33333333328,0,49999.99999999999,1255355.698461539,25.10711396923078,46161.997953233265,2308.0998976616634,41545.79815790993,2308.0998976616634,12353.610299860013,1000.0,1.0,0,0,0,9
11,600000.0000000002,0.6000000000000002,525716.6522825238,9999.0,1999038.461538463,545192.3076923077,204203.87446153848,982975.6127179489,266666.6666666666,0,49999.99999999998,1474463.4190769237,29.489268381538476,47260.83965327802,2363.041982663901,42534.75568795022,2363.041982663901,14716.652282523914,1000.0,1.0,0,0,0,10
12,550000.0000000002,0.5500000000000003,529117.6657984699,9999.0,2180769.2307692324,545192.3076923077,205599.24775384617,1129977.675323077,299999.99999999994,0,49999.999999999985,1694966.512984616,33.89933025969232,48020.27031892099,2401.0135159460497,43218.24328702889,2401.0135159460497,17117.665798469963,1000.0,1.0,0,0,0,11
13,500000.00000000023,0.5000000000000002,532545.1033397943,9999.0,2362500.000000002,545192.3076923077,206436.47172923075,1277537.8872451284,333333.33333333326,0,49999.999999999985,1916306.8308676928,38.32613661735385,48548.75082648946,2427.437541324473,43693.87574384051,2427.437541324473,19545.103339794437,1000.0,1.0,0,0,0,12
14,985991.0629136891,0.9859910629136891,0.0,0.0,2544230.7692307713,545192.3076923077,206938.80611446153,1425432.9887573333,366666.66666666657,0,50000.0,2138149.483136,42.76298966272,48919.191477888286,2445.9595738944145,44027.272330099455,2445.9595738944145,21991.06291368885,1000.0,1.0,0,0,0,13
15,935991.0629136891,0.935991062913689,3459.0405577572715,9999.0,2725961.538461541,545192.3076923077,207240.2067456,1573529.0240236307,399999.99999999994,0,50000.00000000001,2360293.5360354455,47.20587072070891,49180.81115514542,2459.0405577572715,44262.73003963088,2459.0405577572715,24450.10347144612,1000.0,1.0,0,0,0,14
16,885991.0629136891,0.885991062913689,6927.391270918898,9999.0,2907692.3076923103,545192.3076923077,207421.04712428307,1721745.6195423836,433333.33333333326,0,50000.000000000015,2582618.4293135745,51.652368586271486,49367.014263232544,2468.3507131616275,44430.31283690929,2468.3507131616275,26918.454184607745,1000.0,1.0,0,0,0,15
17,835991.0629136891,0.8359910629136891,10402.421847993455,9999.0,3089423.07692308,545192.3076923077,207529.5513514929,1870034.5512126097,466666.6666666666,0,50000.00000000002,2805051.826818913,56.10103653637827,49500.61154149113,2475.0305770745567,44550.550387342024,2475.0305770745567,29393.484761682303,1000.0,1.0,0,0,0,16
18,785991.0629136891,0.785991062913689,13882.285981659656,9999.0,3271153.8461538493,545192.3076923077,207594.65388781883,2018366.8845737195,500000.0,0,50000.00000000003,3027550.326860578,60.551006537211556,49597.28267332402,2479.8641336662013,44637.55440599163,2479.8641336662013,31873.348895348503,1000.0,1.0,0,0,0,17
19,735991.0629136891,0.7359910629136891,17365.679926481127,9999.0,3452884.6153846188,545192.3076923077,207633.71540961438,2166725.25894936,533333.3333333333,0,50000.00000000003,3250087.8884240375,65.00175776848074,49667.87889642941,2483.39394482147,44701.09100678646,2483.39394482147,34356.74284016997,1000.0,1.0,0,0,0,18
20,685991.062913689,0.6859910629136889,20851.677956283937,9999.0,3634615.3846153882,545192.3076923077,207657.15232269172,2315099.2579337186,566666.6666666666,0,50000.00000000004,3472648.8869005754,69.45297773801151,49719.96059605619,2485.9980298028095,44747.96453645057,2485.9980298028095,36842.74086997278,1000.0,1.0,0,0,0,19
21,635991.0629136888,0.6359910629136888,24339.619432347678,9999.0,3816346.1538461577,545192.3076923077,207671.2144705381,2463482.631683308,600000.0,0,50000.00000000004,3695223.947524959,73.90447895049918,49758.82952127477,2487.9414760637387,44782.946569147294,2487.9414760637387,39330.68234603652,1000.0,1.0,0,0,0,20
22,585991.0629136888,0.5859910629136889,27829.03073465092,9999.0,3998076.923076927,545192.3076923077,207679.65175924593,2611871.630292036,633333.3333333334,0,50000.000000000044,3917807.445438051,78.35614890876103,49788.22604606488,2489.411302303244,44809.4034414584,2489.411302303244,41820.09364833976,1000.0,1.0,0,0,0,21
23,535991.0629136887,0.5359910629136887,31319.570905285625,9999.0,4179807.6923076967,545192.3076923077,207684.71413247063,2760264.003816247,666666.6666666667,0,50000.00000000004,4140396.0057243677,82.80792011448736,49810.80341269406,2490.5401706347034,44829.72307142466,2490.5401706347034,44310.633818974464,1000.0,1.0,0,0,0,22
24,520802.05645165645,0.5208020564516564,0.0,0.0,4361538.461538466,545192.3076923077,207687.75155640545,2908658.402289748,700000.0000000001,0,50000.00000000003,4362987.603434619,87.25975206869236,49828.45265364242,2491.422632682121,44845.60738827818,2491.422632682121,46802.05645165658,1000.0,1.0,0,0,0,23
