epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach,repetition_run,iteration_time
1,1000000.0,1.0,510000.0,9999.0,181730.76923076925,181730.76923076925,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0,0,0,0
2,1000000.0,1.0,520000.0,9999.0,363461.5384615385,363461.5384615385,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0,0,0,1
3,1000000.0,1.0,530000.0,9999.0,545192.3076923077,545192.3076923077,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0,0,0,2
4,974903.8461538461,0.9749038461538462,540761.5384615385,9999.0,726923.076923077,545192.3076923077,156634.6153846154,0.0,25096.153846153848,0,25096.153846153848,1.8189894035458565e-12,3.637978807091713e-17,15230.769230769232,761.5384615384617,13707.692307692309,761.5384615384617,761.5384615384617,10000.0,1.0,0,0,0,3
5,929081.7307692308,0.9290817307692307,552413.5576923077,9999.0,908653.8461538462,545192.3076923077,292543.26923076925,0.0,70918.26923076923,0,45822.11538461539,3.637978807091713e-12,7.275957614183426e-17,33040.384615384624,1652.0192307692312,29736.346153846163,1652.0192307692312,2413.557692307693,10000.0,1.0,0,0,0,4
6,879081.7307692308,0.8790817307692308,564511.3579311355,9999.0,1090384.6153846155,545192.3076923077,411142.0673076923,13131.971153846154,120918.26923076923,0,50000.0,13131.971153846156,0.2626394230769231,41956.00477655376,2097.800238827688,37760.404298898386,2097.800238827688,4511.3579311353815,10000.0,1.0,0,0,0,5
7,829081.7307692308,0.8290817307692308,576793.408208959,9999.0,1272115.384615385,545192.3076923077,515138.4735576923,40866.33413461538,170918.26923076925,0,50000.0,40866.33413461539,0.8173266826923078,45641.005556471,2282.05027782355,41076.9050008239,2282.05027782355,6793.408208958932,10000.0,1.0,0,0,0,6
8,779081.7307692306,0.7790817307692306,589169.4376895251,9999.0,1453846.1538461545,545192.3076923077,606706.3936298076,81029.18329326923,220918.26923076925,0,49999.99999999999,81029.18329326925,1.620583665865385,47520.58961131883,2376.0294805659414,42768.53065018694,2376.0294805659414,9169.437689524873,10000.0,1.0,0,0,0,7
9,729081.7307692306,0.7290817307692307,601598.9744771579,9999.0,1635576.923076924,545192.3076923077,687612.7106069712,131853.635546875,270918.26923076925,0,50000.0,131853.635546875,2.6370727109375003,48590.73575265687,2429.5367876328432,43731.662177391176,2429.5367876328432,11598.974477157717,10000.0,1.0,0,0,0,8
10,679081.7307692305,0.6790817307692305,614060.4683577771,9999.0,1817307.6923076934,545192.3076923077,759309.8814167669,191887.23396784856,320918.26923076925,0,50000.0,191887.23396784856,3.8377446793569714,49229.87761238418,2461.493880619209,44306.88985114577,2461.493880619209,14060.468357776926,10000.0,1.0,0,0,0,9
11,629081.7307692305,0.6290817307692306,626541.4538833633,9999.0,1999038.461538463,545192.3076923077,823004.5056010367,259923.379014348,370918.26923076925,0,50000.0,259923.37901434797,5.19846758028696,49619.71051172296,2480.985525586148,44657.73946055066,2480.985525586148,16541.453883363072,10000.0,1.0,0,0,0,10
12,579081.7307692305,0.5790817307692305,639034.4529672584,9999.0,2180769.2307692324,545192.3076923077,879708.6789930852,334949.9748530687,420918.26923076925,0,50000.0,334949.97485306865,6.698999497061373,49859.981677903146,2492.999083895157,44873.98351011283,2492.999083895157,19034.45296725823,10000.0,1.0,0,0,0,11
13,529081.7307692306,0.5290817307692306,651534.8958222265,9999.0,2362500.000000002,545192.3076923077,930278.8740363524,416110.54904057074,470918.26923076925,0,50000.0,416110.54904057074,8.322210980811414,50008.8570993629,2500.4428549681447,45007.9713894266,2500.4428549681447,21534.895822226375,10000.0,1.0,0,0,0,12
14,1000000.0,1.0,143121.6846423798,0.2815066199995967,2544230.7692307713,545192.3076923077,975445.6869805721,502674.5053271204,520918.26923076925,0,50000.0,502674.5053271205,10.05349010654241,50101.16101845272,2505.0580509226365,45091.044916607454,2505.0580509226365,24039.95387314901,10000.0,1.0,0,0,0,13
