epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach,repetition_run,iteration_time
1,1000000.0,1.0,501000.0,9999.0,259615.3846153846,259615.3846153846,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0,0,0
2,1000000.0,1.0,502000.0,9999.0,519230.7692307692,519230.7692307692,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0,0,1
3,1000000.0,1.0,503000.0,9999.0,778846.1538461538,778846.1538461538,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0,0,2
4,950000.0,0.95,504695.6521739131,9999.0,1038461.5384615383,778846.1538461538,179999.99999999997,29615.384615384624,49999.99999999999,0,49999.99999999999,29615.38461538463,0.5923076923076926,13913.043478260868,695.6521739130435,12521.739130434784,695.6521739130435,695.6521739130435,1000.0,1.0,0,0,0,3
5,900000.0,0.9,506886.95467002445,9999.0,1298076.9230769228,778846.1538461538,311192.30769230763,108038.46153846155,99999.99999999999,0,50000.0,108038.46153846156,2.160769230769231,23826.049922227983,1191.3024961113993,21443.444930005182,1191.3024961113993,1886.9546700244427,1000.0,1.0,0,0,0,4
6,850000.0,0.85,509432.2947487364,9999.0,1557692.3076923073,778846.1538461538,409950.0,218896.15384615384,149999.99999999997,0,49999.99999999999,218896.1538461539,4.377923076923078,30906.8015742386,1545.34007871193,27816.12141681474,1545.34007871193,3432.2947487363726,1000.0,1.0,0,0,0,5
7,799999.9999999999,0.7999999999999999,512232.48598526727,9999.0,1817307.6923076918,778846.1538461538,485899.6153846154,352561.92307692306,199999.99999999997,0,49999.99999999999,352561.9230769231,7.051238461538462,36003.82473061702,1800.1912365308513,32403.442257555318,1800.1912365308513,5232.485985267223,1000.0,1.0,0,0,0,6
8,749999.9999999999,0.7499999999999999,515217.5865474573,9999.0,2076923.0769230763,778846.1538461538,545139.3461538461,502937.5769230769,249999.99999999994,0,49999.99999999999,502937.576923077,10.05875153846154,39702.011243801215,1985.1005621900608,35731.81011942109,1985.1005621900608,7217.586547457285,1000.0,1.0,0,0,0,7
9,699999.9999999998,0.6999999999999997,518337.7947484011,9999.0,2336538.461538461,778846.1538461538,591772.8115384616,665919.4961538462,300000.0,0,50000.0,665919.496153846,13.318389923076921,42404.16401887457,2120.2082009437286,38163.747616987115,2120.2082009437286,9337.794748401015,1000.0,1.0,0,0,0,8
10,649999.9999999999,0.6499999999999999,521557.29735331045,9999.0,2596153.846153846,778846.1538461538,628700.7565384615,838606.9357692308,350000.0,0,50000.0,838606.9357692308,16.772138715384617,44390.052098187414,2219.502604909371,39951.04688836867,2219.502604909371,11557.297353310387,1000.0,1.0,0,0,0,9
