epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach,repetition_run,iteration_time
1,1000000.0,1.0,510000.0,9999.0,259615.3846153846,259615.3846153846,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0,0,0,0
2,1000000.0,1.0,520000.0,9999.0,519230.7692307692,519230.7692307692,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0,0,0,1
3,1000000.0,1.0,530000.0,9999.0,778846.1538461538,778846.1538461538,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0,0,0,2
4,950000.0,0.95,541416.6666666666,9999.0,1038461.5384615383,778846.1538461538,103846.15384615383,122435.89743589744,33333.333333333336,0,50000.0,183653.84615384616,3.673076923076923,28333.333333333336,1416.6666666666667,25500.0,1416.6666666666667,1416.6666666666667,10000.0,1.0,0,0,0,3
5,900000.0,0.9,553406.3374320591,9999.0,1298076.9230769228,778846.1538461538,166153.84615384613,286410.2564102564,66666.66666666666,0,49999.99999999999,429615.3846153846,8.592307692307692,39793.41530784995,1989.6707653924977,35814.07377706496,1989.6707653924977,3406.3374320591647,10000.0,1.0,0,0,0,4
6,850000.0,0.85,565656.2113876785,9999.0,1557692.3076923073,778846.1538461538,203538.4615384615,475307.69230769225,100000.0,0,50000.0,712961.5384615384,14.259230769230768,44997.479112388704,2249.8739556194355,40497.73120114983,2249.8739556194355,5656.2113876786,10000.0,1.0,0,0,0,5
7,800000.0,0.8,578032.3882971472,9999.0,1817307.6923076918,778846.1538461538,225969.23076923072,679158.9743589744,133333.3333333333,0,50000.0,1018738.4615384614,20.37476923076923,47523.53818937547,2376.1769094687734,42771.18437043792,2376.1769094687734,8032.388297147374,10000.0,1.0,0,0,0,6
8,750000.0,0.75,590471.5619081691,9999.0,2076923.0769230763,778846.1538461538,239427.69230769225,891982.564102564,166666.66666666666,0,50000.0,1337973.846153846,26.75947692307692,48783.47222043816,2439.173611021908,43905.12499839434,2439.173611021908,10471.561908169282,10000.0,1.0,0,0,0,7
9,700000.0,0.7,602942.1780016298,9999.0,2336538.461538461,778846.1538461538,247502.7692307692,1110189.5384615383,200000.0,0,49999.99999999999,1665284.3076923077,33.30568615384615,49412.321869216205,2470.61609346081,44471.08968229458,2470.61609346081,12942.17800163009,10000.0,1.0,0,0,0,8
10,650000.0,0.65,615428.1897652642,9999.0,2596153.846153846,778846.1538461538,252347.81538461533,1331626.5435897433,233333.3333333333,0,49999.99999999999,1997439.815384616,39.94879630769232,49720.2352726888,2486.0117636344403,44748.21174541992,2486.0117636344403,15428.189765264531,10000.0,1.0,0,0,0,9
11,600000.0,0.6,627921.4486670763,9999.0,2855769.230769231,778846.1538461538,255254.84307692302,1555001.567179487,266666.6666666666,0,49999.999999999985,2332502.3507692316,46.65004701538463,49865.178036243204,2493.2589018121603,44878.66023261887,2493.2589018121603,17921.448667076693,10000.0,1.0,0,0,0,10
12,550000.0,0.55,640417.893208071,9999.0,3115384.615384616,778846.1538461538,256999.0596923076,1779539.4018461537,300000.0,0,49999.999999999985,2669309.1027692314,53.38618205538463,49928.890819894754,2496.444540994738,44936.00173790528,2496.444540994738,20417.89320807143,10000.0,1.0,0,0,0,11
13,500000.00000000006,0.5000000000000001,652915.5746401527,9999.0,3375000.000000001,778846.1538461538,258045.5896615384,2004774.9231589742,333333.3333333333,0,49999.999999999985,3007162.3847384616,60.14324769476923,49953.628641632866,2497.6814320816434,44958.265777469576,2497.6814320816434,22915.574640153074,10000.0,1.0,0,0,0,12
14,1000000.0,1.0,115413.62073973345,0.21472223477929095,3634615.384615386,778846.1538461538,258673.50764307688,2230429.056459487,366666.6666666666,0,49999.99999999999,3345643.5846892307,66.91287169378461,49960.92199161461,2498.0460995807307,44964.82979245315,2498.0460995807307,25413.620739733808,10000.0,1.0,0,0,0,13
15,950000.0,0.95,127911.69191081211,9999.0,3894230.769230771,778846.1538461538,259050.25843199994,2456334.356952615,400000.0,0,50000.0,3684501.5354289226,73.69003070857845,49961.423421572974,2498.071171078649,44965.28107941567,2498.071171078649,27911.691910812457,10000.0,1.0,0,0,0,14
16,900000.0,0.9,140409.69862323682,9999.0,4153846.153846156,778846.1538461538,259276.3089053538,2682390.3577613123,433333.3333333334,0,50000.0,4023585.5366419684,80.47171073283937,49960.134248494134,2498.006712424707,44964.12082364473,2498.006712424707,30409.69862323716,10000.0,1.0,0,0,0,15
17,850000.0,0.85,152907.6577148754,9999.0,4413461.538461541,778846.1538461538,259411.93918936612,2908536.7787593515,466666.6666666666,0,50000.0,4362805.1681390265,87.25610336278054,49959.181832771326,2497.959091638567,44963.26364949419,2497.959091638567,32907.65771487573,10000.0,1.0,0,0,0,16
18,799999.9999999999,0.7999999999999999,165405.62196636476,9999.0,4673076.923076926,778846.1538461538,259493.3173597735,3134737.451870995,500000.0,0,50000.000000000015,4702106.177806492,94.04212355612984,49959.285029787665,2497.9642514893835,44963.3565268089,2497.9642514893835,35405.621966365106,10000.0,1.0,0,0,0,17
19,749999.9999999999,0.7499999999999999,177903.64775445228,9999.0,4932692.307692311,778846.1538461538,259542.14426201792,3360970.676250802,533333.3333333334,0,50000.000000000015,5041456.014376202,100.82912028752403,49960.515761750794,2498.0257880875397,44964.46418557571,2498.0257880875397,37903.64775445265,10000.0,1.0,0,0,0,18
