epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach,repetition_run,iteration_time
1,1000000.0,1.0,550000.0,9999.0,259615.3846153846,259615.3846153846,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0,0,0
2,1000000.0,1.0,600000.0,9999.0,519230.7692307692,519230.7692307692,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0,0,1
3,1000000.0,1.0,650000.0,9999.0,778846.1538461538,778846.1538461538,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0,0,2
4,950000.0,0.95,701902.7777777778,9999.0,1038461.5384615383,778846.1538461538,103846.15384615383,122435.89743589744,33333.333333333336,0,50000.0,183653.84615384616,3.673076923076923,38055.55555555556,1902.7777777777778,34250.00000000001,1902.7777777777778,1902.7777777777778,50000.0,1.0,0,0,0,3
5,900000.0,0.9,754206.0584291188,9999.0,1298076.9230769228,778846.1538461538,166153.84615384613,286410.2564102564,66666.66666666666,0,49999.99999999999,429615.3846153846,8.592307692307692,46065.61302681992,2303.2806513409964,41459.05172413793,2303.2806513409964,4206.058429118774,50000.0,1.0,0,0,0,4
6,850000.0,0.85,806646.0053053115,9999.0,1557692.3076923073,778846.1538461538,203538.4615384615,475307.69230769225,100000.0,0,50000.0,712961.5384615384,14.259230769230768,48798.937523853136,2439.946876192657,43919.04377146781,2439.946876192657,6646.005305311432,50000.0,1.0,0,0,0,5
7,800000.0,0.8,859130.646316743,9999.0,1817307.6923076918,778846.1538461538,225969.23076923072,679158.9743589744,133333.3333333333,0,50000.0,1018738.4615384614,20.37476923076923,49692.82022862823,2484.6410114314117,44723.538205765406,2484.6410114314117,9130.646316742843,50000.0,1.0,0,0,0,6
8,750000.0,0.75,911628.5276283139,9999.0,2076923.0769230763,778846.1538461538,239427.69230769225,891982.564102564,166666.66666666666,0,50000.0,1337973.846153846,26.75947692307692,49957.626231415685,2497.8813115707844,44961.86360827412,2497.8813115707844,11628.527628313626,50000.0,1.0,0,0,0,7
9,700000.0,0.7,964129.4652787625,9999.0,2336538.461538461,778846.1538461538,247502.7692307692,1110189.5384615383,200000.0,0,49999.99999999999,1665284.3076923077,33.30568615384615,50018.7530089726,2500.9376504486304,45016.877708075335,2500.9376504486304,14129.465278762258,50000.0,1.0,0,0,0,8
10,650000.0,0.65,1016630.5509052743,9999.0,2596153.846153846,778846.1538461538,252347.81538461533,1331626.5435897433,233333.3333333333,0,49999.99999999999,1997439.815384616,39.94879630769232,50021.71253023622,2501.085626511811,45019.5412772126,2501.085626511811,16630.55090527407,50000.0,1.0,0,0,0,9
