epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach,repetition_run,iteration_time
1,1000000.0,1.0,501000.0,9999.0,259615.3846153846,259615.3846153846,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0,0,0
2,1000000.0,1.0,502000.0,9999.0,519230.7692307692,519230.7692307692,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0,0,1
3,1000000.0,1.0,503000.0,9999.0,778846.1538461538,778846.1538461538,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0,0,2
4,950000.0,0.95,504708.3333333333,9999.0,1038461.5384615383,778846.1538461538,103846.15384615383,122435.89743589744,33333.333333333336,0,50000.0,183653.84615384616,3.673076923076923,14166.666666666668,708.3333333333334,12750.0,708.3333333333334,708.3333333333334,1000.0,1.0,0,0,0,3
5,900000.0,0.9,506933.0298271407,9999.0,1298076.9230769228,778846.1538461538,166153.84615384613,286410.2564102564,66666.66666666666,0,49999.99999999999,429615.3846153846,8.592307692307692,24493.929876147195,1224.6964938073597,22044.536888532475,1224.6964938073597,1933.0298271406932,1000.0,1.0,0,0,0,4
6,850000.0,0.85,509525.17401893064,9999.0,1557692.3076923073,778846.1538461538,203538.4615384615,475307.69230769225,100000.0,0,50000.0,712961.5384615384,14.259230769230768,31842.88383579874,1592.1441917899372,28658.595452218862,1592.1441917899372,3525.17401893063,1000.0,1.0,0,0,0,5
7,800000.0,0.8,512376.43248707656,9999.0,1817307.6923076918,778846.1538461538,225969.23076923072,679158.9743589744,133333.3333333333,0,50000.0,1018738.4615384614,20.37476923076923,37025.16936291804,1851.258468145902,33322.65242662624,1851.258468145902,5376.432487076532,1000.0,1.0,0,0,0,6
8,750000.0,0.75,515410.00918248616,9999.0,2076923.0769230763,778846.1538461538,239427.69230769225,891982.564102564,166666.66666666666,0,50000.0,1337973.846153846,26.75947692307692,40671.533908191836,2033.576695409592,36604.38051737266,2033.576695409592,7410.009182486125,1000.0,1.0,0,0,0,7
9,700000.0,0.7,518572.060929287,9999.0,2336538.461538461,778846.1538461538,247502.7692307692,1110189.5384615383,200000.0,0,49999.99999999999,1665284.3076923077,33.30568615384615,43241.034936016535,2162.051746800827,38916.93144241488,2162.051746800827,9572.060929286952,1000.0,1.0,0,0,0,8
10,650000.0,0.65,521824.9790396053,9999.0,2596153.846153846,778846.1538461538,252347.81538461533,1331626.5435897433,233333.3333333333,0,49999.99999999999,1997439.815384616,39.94879630769232,45058.36220636661,2252.918110318331,40552.525985729946,2252.918110318331,11824.979039605283,1000.0,1.0,0,0,0,9
