epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach,repetition_run,iteration_time
1,1000000.0,1.0,510000.0,9999.0,259615.3846153846,259615.3846153846,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0,0,0,0
2,1000000.0,1.0,520000.0,9999.0,519230.7692307692,519230.7692307692,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0,0,0,1
3,1000000.0,1.0,530000.0,9999.0,778846.1538461538,778846.1538461538,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0,0,0,2
4,960192.3076923077,0.9601923076923078,541107.6923076924,9999.0,1038461.5384615383,778846.1538461538,219807.69230769228,0.0,39807.69230769231,0,39807.69230769231,7.275957614183426e-12,1.4551915228366853e-16,22153.846153846156,1107.6923076923078,19938.46153846154,1107.6923076923078,1107.6923076923078,10000.0,1.0,0,0,0,3
5,910192.3076923076,0.9101923076923076,552917.618717023,9999.0,1298076.9230769228,778846.1538461538,407509.6153846154,21913.46153846154,89807.69230769231,0,50000.0,21913.461538461546,0.4382692307692309,36198.52818661483,1809.9264093307415,32578.67536795335,1809.9264093307415,2917.6187170230496,10000.0,1.0,0,0,0,4
6,860192.3076923076,0.8601923076923076,565028.2725541969,9999.0,1557692.3076923073,778846.1538461538,569003.3653846154,70035.09615384616,139807.6923076923,0,50000.0,70035.09615384616,1.400701923076923,42213.07674347702,2110.6538371738507,37991.76906912932,2110.6538371738507,5028.2725541969,10000.0,1.0,0,0,0,5
7,810192.3076923076,0.8101923076923077,577296.5808568621,9999.0,1817307.6923076918,778846.1538461538,708862.7163461539,139791.1298076923,189807.6923076923,0,50000.0,139791.1298076923,2.795822596153846,45366.166053302884,2268.3083026651443,40829.5494479726,2268.3083026651443,7296.580856862045,10000.0,1.0,0,0,0,6
8,760192.3076923076,0.7601923076923076,589656.5169070469,9999.0,2076923.0769230763,778846.1538461538,830678.4411057692,227590.78966346153,239807.6923076923,0,50000.00000000001,227590.78966346147,4.551815793269229,47198.721003698505,2359.936050184926,42478.84890332866,2359.936050184926,9656.51690704697,10000.0,1.0,0,0,0,7
9,710192.3076923076,0.7101923076923077,602072.2204130247,9999.0,2336538.461538461,778846.1538461538,937302.9712139423,330581.6441706731,289807.69230769237,0,50000.000000000015,330581.6441706729,6.611632883413458,48314.070119555865,2415.7035059777936,43482.66310760028,2415.7035059777936,12072.220413024763,10000.0,1.0,0,0,0,8
10,660192.3076923076,0.6601923076923076,614522.6657995776,9999.0,2596153.846153846,778846.1538461538,1031028.0193719951,446471.98062800476,339807.69230769237,0,50000.000000000015,446471.9806280046,8.929439612560092,49008.90773106,2450.445386553,44108.016957953994,2450.445386553,14522.665799577764,10000.0,1.0,0,0,0,9
11,610192.3076923077,0.6101923076923077,626995.0968666881,9999.0,2855769.230769231,778846.1538461538,1113714.9036251502,573400.4809902343,389807.69230769237,0,50000.000000000015,573400.4809902343,11.468009619804686,49448.621342209764,2472.4310671104886,44503.75920798878,2472.4310671104886,16995.09686668825,10000.0,1.0,0,0,0,10
12,560192.3076923079,0.5601923076923079,639481.6286318456,9999.0,3115384.615384616,778846.1538461538,1186891.122705401,709839.646525368,439807.69230769237,0,50000.0,709839.6465253681,14.196792930507362,49730.635303149706,2486.5317651574856,44757.57177283474,2486.5317651574856,19481.628631845735,10000.0,1.0,0,0,0,11
13,510192.3076923078,0.5101923076923078,651977.3161370055,9999.0,3375000.000000001,778846.1538461538,1251822.5978584737,854523.5559876799,489807.69230769237,0,49999.99999999999,854523.5559876797,17.090471119753595,49913.75010319805,2495.6875051599027,44922.37509287824,2495.6875051599027,21977.316137005637,10000.0,1.0,0,0,0,12
14,1000000.0,1.0,124671.32065420062,0.2364306905709478,3634615.384615386,778846.1538461538,1309568.2003067976,1006393.3381547405,539807.6923076924,0,50000.0,1006393.3381547405,20.12786676309481,50033.93649774595,2501.696824887297,45030.542847971345,2501.696824887297,24479.01296189294,10000.0,1.0,0,0,0,13
15,950000.0,0.95,137176.9925566232,9999.0,3894230.769230771,778846.1538461538,1361021.2684131614,1164555.6546637611,589807.6923076923,0,50000.0,1164555.6546637611,23.29111309327522,50113.43804845141,2505.671902422571,45102.094243606276,2505.671902422571,26984.68486431551,10000.0,1.0,0,0,0,14
16,900000.0,0.9,149685.3008244686,9999.0,4153846.153846156,778846.1538461538,1406941.4910130159,1328250.8166792914,639807.6923076924,0,50000.0,1328250.8166792914,26.565016333585827,50166.165356908205,2508.3082678454102,45149.54882121738,2508.3082678454102,29492.99313216092,10000.0,1.0,0,0,0,15
17,850000.0,0.85,162195.34741455334,9999.0,4413461.538461541,778846.1538461538,1447979.6024571632,1496828.0898505286,689807.6923076924,0,50000.0,1496828.0898505286,29.936561797010572,50200.9318016943,2510.0465900847153,45180.838621524876,2510.0465900847153,32003.03972224563,10000.0,1.0,0,0,0,16
18,800000.0,0.8,174706.5178008767,9999.0,4673076.923076926,778846.1538461538,1484696.6751608148,1669726.4017622615,739807.6923076924,0,50000.00000000001,1669726.4017622618,33.39452803524524,50223.40772646706,2511.1703863233533,45201.06695382035,2511.1703863233533,34514.21010856898,10000.0,1.0,0,0,0,17
19,750000.0,0.75,187218.38315368033,9999.0,4932692.307692311,778846.1538461538,1517579.3233424663,1846459.1381959948,789807.6923076924,0,50000.0,1846459.1381959948,36.9291827639199,50237.30705607292,2511.865352803646,45213.57635046562,2511.865352803646,37026.07546137263,10000.0,1.0,0,0,0,18
