epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach,repetition_run,iteration_time
1,1000000.0,1.0,510000.0,9999.0,90865.38461538462,90865.38461538462,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0,0,0,0
2,1000000.0,1.0,520000.0,9999.0,181730.76923076925,181730.76923076925,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0,0,0,1
3,1000000.0,1.0,530000.0,9999.0,272596.1538461539,272596.1538461539,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0,0,0,2
4,974903.8461538461,0.9749038461538462,540761.5384615385,9999.0,363461.5384615385,272596.1538461539,65769.23076923078,0.0,25096.153846153848,0,25096.153846153848,1.8189894035458565e-12,3.637978807091713e-17,15230.769230769232,761.5384615384617,13707.692307692309,761.5384615384617,761.5384615384617,10000.0,1.0,0,0,0,3
5,933451.9230769231,0.9334519230769232,552305.3846153846,9999.0,454326.9230769231,272596.1538461539,115182.69230769231,0.0,66548.07692307694,0,41451.92307692308,0.0,0.0,30876.923076923078,1543.8461538461543,27789.23076923077,1543.8461538461543,2305.384615384616,10000.0,1.0,0,0,0,4
6,883451.9230769231,0.8834519230769231,564410.8067010309,9999.0,545192.3076923077,272596.1538461539,153164.4230769231,2883.653846153852,116548.07692307694,0,50000.0,2883.653846153855,0.0576730769230771,42108.44171292626,2105.4220856463126,37897.59754163364,2105.4220856463126,4410.80670103093,10000.0,1.0,0,0,0,5
7,833451.9230769231,0.8334519230769232,576728.0211118513,9999.0,636057.6923076925,272596.1538461539,182785.67307692312,14127.788461538485,166548.0769230769,0,49999.999999999985,14127.788461538497,0.28255576923076997,46344.28821640728,2317.2144108203643,41709.85939476656,2317.2144108203643,6728.021111851294,10000.0,1.0,0,0,0,6
8,783451.9230769231,0.7834519230769231,589140.8532837488,9999.0,726923.0769230772,272596.1538461539,206102.68269230772,31676.163461538512,216548.07692307688,0,49999.999999999985,31676.16346153852,0.6335232692307704,48256.64343795148,2412.832171897574,43430.97909415634,2412.832171897574,9140.85328374887,10000.0,1.0,0,0,0,7
9,733451.9230769232,0.7334519230769232,601601.3972035664,9999.0,817788.461538462,272596.1538461539,224566.7105769231,54077.52019230774,266548.0769230769,0,50000.00000000001,54077.520192307726,1.0815504038461545,49210.87839634914,2460.5439198174568,44289.79055671423,2460.5439198174568,11601.397203566326,10000.0,1.0,0,0,0,8
10,683451.9230769231,0.6834519230769232,614086.4759914721,9999.0,908653.8461538467,272596.1538461539,239243.2260576923,80266.38932692312,316548.0769230769,0,50000.0,80266.38932692312,1.6053277865384623,49701.57575811563,2485.0787879057816,44731.41818230406,2485.0787879057816,14086.475991472107,10000.0,1.0,0,0,0,9
11,633451.9230769232,0.6334519230769232,626583.9688702204,9999.0,999519.2307692314,272596.1538461539,250937.10164423077,109437.89835576928,366548.0769230769,0,50000.0,109437.89835576928,2.188757967115386,49949.85757496371,2497.492878748186,44954.87181746734,2497.492878748186,16583.96887022029,10000.0,1.0,0,0,0,10
12,583451.9230769232,0.5834519230769233,639087.3855612435,9999.0,1090384.6153846162,272596.1538461539,260268.5370375,140971.84757788468,416548.0769230769,0,50000.0,140971.84757788468,2.8194369515576936,50068.333820464715,2503.416691023236,45061.50043841825,2503.416691023236,19087.38556124353,10000.0,1.0,0,0,0,11
13,533451.9230769232,0.5334519230769232,651593.274513814,9999.0,1181250.000000001,272596.1538461539,267721.85347875004,174383.91575201927,466548.0769230769,0,50000.0,174383.91575201927,3.487678315040385,50117.77905140714,2505.888952570357,45106.00114626643,2505.888952570357,21593.274513813885,10000.0,1.0,0,0,0,12
14,1000000.0,1.0,147551.7759133213,0.2927373565926801,1272115.3846153857,272596.1538461539,273678.59082799044,209292.5630181635,516548.07692307694,0,50000.00000000001,209292.5630181635,4.18585126036327,50131.56645168117,2506.5783225840587,45118.40980651305,2506.5783225840587,24099.852836397946,10000.0,1.0,0,0,0,13
15,950000.0,0.95,160058.1737530026,9999.0,1362980.7692307704,272596.1538461539,278441.02283208753,245395.515629451,566548.076923077,0,49999.99999999999,245395.51562945102,4.907910312589021,50127.95679362621,2506.397839681311,45115.16111426359,2506.397839681311,26606.250676079257,10000.0,1.0,0,0,0,14
16,900000.0,0.9,172564.01231364338,9999.0,1453846.1538461552,272596.1538461539,282249.48950303457,282452.4335738886,616548.076923077,0,50000.0,282452.4335738886,5.649048671477773,50116.77121281579,2505.8385606407896,45105.094091534214,2505.8385606407896,29112.089236720043,10000.0,1.0,0,0,0,15
17,850000.0,0.85,185069.168704772,9999.0,1544711.53846154,272596.1538461539,285295.5233746902,320271.78431761754,666548.076923077,0,50000.000000000015,320271.78431761754,6.405435686352351,50103.12782257183,2505.156391128591,45092.81504031464,2505.156391128591,31617.245627848635,10000.0,1.0,0,0,0,16
18,800000.0,0.8,197573.64636109167,9999.0,1635576.9230769246,272596.1538461539,287731.98073967645,358700.711568016,716548.076923077,0,50000.0,358700.711568016,7.17401423136032,50089.55312639324,2504.477656319662,45080.59781375392,2504.477656319662,34121.7232841683,10000.0,1.0,0,0,0,17
19,750000.0,0.75,210077.50503103537,9999.0,1726442.3076923094,272596.1538461539,289680.9617655389,397617.1151575382,766548.076923077,0,50000.0,397617.11515753815,7.952342303150763,50077.17339887393,2503.8586699436964,45069.45605898654,2503.8586699436964,36625.58195411199,10000.0,1.0,0,0,0,18
20,700000.0,0.7,222580.82411938973,9999.0,1817307.6923076941,272596.1538461539,291240.054153174,436923.40738528775,816548.0769230769,0,50000.00000000001,436923.4073852877,8.738468147705754,50066.38176708718,2503.3190883543593,45059.74359037846,2503.3190883543593,39128.90104246635,10000.0,1.0,0,0,0,19
21,650000.0,0.65,235083.68445929376,9999.0,1908173.0769230789,272596.1538461539,292487.28184675635,476541.56430709,866548.0769230769,0,49999.99999999999,476541.56430708995,9.5308312861418,50057.20679808044,2502.8603399040226,45051.4861182724,2502.8603399040226,41631.76138237037,10000.0,1.0,0,0,0,20
