epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach,repetition_run,iteration_time
1,1000000.0,1.0,550000.0,9999.0,90865.38461538462,90865.38461538462,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0,0,0
2,1000000.0,1.0,600000.0,9999.0,181730.76923076925,181730.76923076925,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0,0,1
3,1000000.0,1.0,650000.0,9999.0,272596.1538461539,272596.1538461539,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0,0,2
4,974903.8461538461,0.9749038461538462,701003.8461538462,9999.0,363461.5384615385,272596.1538461539,65769.23076923078,0.0,25096.153846153848,0,25096.153846153848,1.8189894035458565e-12,3.637978807091713e-17,20076.923076923078,1003.8461538461539,18069.230769230773,1003.8461538461539,1003.8461538461539,50000.0,1.0,0,0,0,3
5,933451.9230769231,0.9334519230769232,752843.2211538462,9999.0,454326.9230769231,272596.1538461539,115182.69230769231,0.0,66548.07692307694,0,41451.92307692308,0.0,0.0,36787.5,1839.3750000000005,33108.75,1839.3750000000005,2843.2211538461543,50000.0,1.0,0,0,0,4
6,883451.9230769231,0.8834519230769231,805196.9038504809,9999.0,545192.3076923077,272596.1538461539,153164.4230769231,2883.653846153852,116548.07692307694,0,50000.0,2883.653846153855,0.0576730769230771,47073.65393269388,2353.6826966346944,42366.288539424495,2353.6826966346944,5196.903850480849,50000.0,1.0,0,0,0,5
7,833451.9230769231,0.8334519230769232,857650.3579218866,9999.0,636057.6923076925,272596.1538461539,182785.67307692312,14127.788461538485,166548.0769230769,0,49999.999999999985,14127.788461538497,0.28255576923076997,49069.08142811403,2453.454071405701,44162.173285302626,2453.454071405701,7650.35792188655,50000.0,1.0,0,0,0,6
8,783451.9230769231,0.7834519230769231,910139.9022402983,9999.0,726923.0769230772,272596.1538461539,206102.68269230772,31676.163461538512,216548.07692307688,0,49999.999999999985,31676.16346153852,0.6335232692307704,49790.88636823494,2489.544318411747,44811.797731411454,2489.544318411747,10139.902240298297,50000.0,1.0,0,0,0,7
9,733451.9230769232,0.7334519230769232,962642.176768389,9999.0,817788.461538462,272596.1538461539,224566.7105769231,54077.52019230774,266548.0769230769,0,50000.00000000001,54077.520192307726,1.0815504038461545,50045.49056181272,2502.2745280906365,45040.941505631454,2502.2745280906365,12642.176768388932,50000.0,1.0,0,0,0,8
10,683451.9230769231,0.6834519230769232,1015148.4898974372,9999.0,908653.8461538467,272596.1538461539,239243.2260576923,80266.38932692312,316548.0769230769,0,50000.0,80266.38932692312,1.6053277865384623,50126.26258096349,2506.3131290481747,45113.63632286714,2506.3131290481747,15148.489897437108,50000.0,1.0,0,0,0,9
