epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach,repetition_run,iteration_time
1,1000000.0,1.0,501000.0,9999.0,90865.38461538462,90865.38461538462,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0,0,0
2,1000000.0,1.0,502000.0,9999.0,181730.76923076925,181730.76923076925,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0,0,1
3,1000000.0,1.0,503000.0,9999.0,272596.1538461539,272596.1538461539,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0,0,2
4,974903.8461538461,0.9749038461538462,504380.76923076925,9999.0,363461.5384615385,272596.1538461539,65769.23076923078,0.0,25096.153846153848,0,25096.153846153848,1.8189894035458565e-12,3.637978807091713e-17,7615.384615384616,380.76923076923083,6853.846153846154,380.76923076923083,380.76923076923083,1000.0,1.0,0,0,0,3
5,933451.9230769231,0.9334519230769232,506283.7980769231,9999.0,454326.9230769231,272596.1538461539,115182.69230769231,0.0,66548.07692307694,0,41451.92307692308,0.0,0.0,18060.576923076926,903.0288461538463,16254.519230769234,903.0288461538463,1283.7980769230771,1000.0,1.0,0,0,0,4
6,883451.9230769231,0.8834519230769231,508683.5067159001,9999.0,545192.3076923077,272596.1538461539,153164.4230769231,2883.653846153852,116548.07692307694,0,50000.0,2883.653846153855,0.0576730769230771,27994.17277954005,1399.7086389770025,25194.75550158605,1399.7086389770025,2683.5067159000796,1000.0,1.0,0,0,0,5
7,833451.9230769231,0.8334519230769232,511421.31856392743,9999.0,636057.6923076925,272596.1538461539,182785.67307692312,14127.788461538485,166548.0769230769,0,49999.999999999985,14127.788461538497,0.28255576923076997,34756.23696054747,1737.8118480273733,31280.613264492717,1737.8118480273733,4421.318563927453,1000.0,1.0,0,0,0,6
8,783451.9230769231,0.7834519230769231,514389.98934021295,9999.0,726923.0769230772,272596.1538461539,206102.68269230772,31676.163461538512,216548.07692307688,0,49999.999999999985,31676.16346153852,0.6335232692307704,39373.41552571166,1968.670776285583,35436.07397314049,1968.670776285583,6389.9893402130365,1000.0,1.0,0,0,0,7
9,733451.9230769232,0.7334519230769232,517517.33199235727,9999.0,817788.461538462,272596.1538461539,224566.7105769231,54077.52019230774,266548.0769230769,0,50000.00000000001,54077.520192307726,1.0815504038461545,42546.85304288627,2127.342652144314,38292.16773859765,2127.342652144314,8517.33199235735,1000.0,1.0,0,0,0,8
10,683451.9230769231,0.6834519230769232,520754.52592112223,9999.0,908653.8461538467,272596.1538461539,239243.2260576923,80266.38932692312,316548.0769230769,0,50000.0,80266.38932692312,1.6053277865384623,44743.87857529961,2237.1939287649807,40269.49071776965,2237.1939287649807,10754.525921122333,1000.0,1.0,0,0,0,9
