epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach,repetition_run,iteration_time
1,1000000.0,1.0,501000.0,9999.0,90865.38461538462,90865.38461538462,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0,0,0
2,1000000.0,1.0,502000.0,9999.0,181730.76923076925,181730.76923076925,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0,0,1
3,1000000.0,1.0,503000.0,9999.0,272596.1538461539,272596.1538461539,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0,0,2
4,950000.0,0.95,504769.7368421052,9999.0,363461.5384615385,272596.1538461539,41538.46153846154,15993.589743589746,33333.33333333333,0,50000.0,23990.38461538462,0.47980769230769243,15394.736842105263,769.7368421052632,13855.263157894738,769.7368421052632,769.7368421052632,1000.0,1.0,0,0,0,3
5,900000.0,0.9,507090.2246545992,9999.0,454326.9230769231,272596.1538461539,66461.53846153847,48602.56410256411,66666.66666666667,0,50000.0,72903.84615384617,1.4580769230769235,26409.756249879905,1320.4878124939953,23768.78062489192,1320.4878124939953,2090.2246545992584,1000.0,1.0,0,0,0,4
6,850000.0,0.85,509787.2615346992,9999.0,545192.3076923077,272596.1538461539,81415.38461538461,91180.76923076925,100000.0,0,50000.0,136771.15384615387,2.7354230769230776,33940.737601999324,1697.0368800999663,30546.66384179939,1697.0368800999663,3787.261534699225,1000.0,1.0,0,0,0,5
7,800000.0,0.8,512738.3403711128,9999.0,636057.6923076925,272596.1538461539,90387.69230769231,139740.51282051284,133333.33333333334,0,50000.0,209610.76923076925,4.192215384615385,39021.5767282721,1951.0788364136051,35119.41905544489,1951.0788364136051,5738.34037111283,1000.0,1.0,0,0,0,6
8,750000.0,0.75,515860.2481938108,9999.0,726923.0769230772,272596.1538461539,95771.07692307694,191889.1794871795,166666.66666666666,0,50000.0,287833.76923076925,5.756675384615385,42438.15645395905,2121.9078226979523,38194.34080856314,2121.9078226979523,7860.248193810782,1000.0,1.0,0,0,0,7
9,699999.9999999999,0.6999999999999998,519097.18671630416,9999.0,817788.461538462,272596.1538461539,99001.1076923077,246191.2,200000.0,0,49999.99999999999,369286.8000000001,7.385736000000002,44738.77044986778,2236.9385224933885,40264.893404881,2236.9385224933885,10097.18671630417,1000.0,1.0,0,0,0,8
10,649999.9999999999,0.6499999999999999,522411.8981449128,9999.0,908653.8461538467,272596.1538461539,100939.12615384615,301785.23282051284,233333.3333333333,0,49999.999999999985,452677.8492307694,9.053556984615387,46294.2285721721,2314.7114286086053,41664.805714954884,2314.7114286086053,12411.898144912775,1000.0,1.0,0,0,0,9
