epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach,repetition_run,iteration_time
1,1000000.0,1.0,510000.0,9999.0,181730.76923076925,181730.76923076925,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0,0,0,0
2,1000000.0,1.0,520000.0,9999.0,363461.5384615385,363461.5384615385,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0,0,0,1
3,1000000.0,1.0,530000.0,9999.0,545192.3076923077,545192.3076923077,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1.0,0,0,0,2
4,950000.0,0.95,541517.2413793104,9999.0,726923.076923077,545192.3076923077,131538.46153846156,192.3076923076942,50000.0,0,50000.0,192.30769230769147,0.0038461538461538295,30344.8275862069,1517.2413793103449,27310.34482758621,1517.2413793103449,1517.2413793103449,10000.0,1.0,0,0,0,3
5,900000.0,0.9,553565.7191422803,9999.0,908653.8461538462,545192.3076923077,230365.38461538462,33096.15384615385,100000.0,0,50000.0,33096.15384615383,0.6619230769230766,40969.55525939877,2048.477762969939,36872.5997334589,2048.477762969939,3565.7191422802834,10000.0,1.0,0,0,0,4
6,850000.0000000001,0.8500000000000001,565839.6595543968,9999.0,1090384.6153846155,545192.3076923077,306328.8461538462,88863.46153846153,150000.0,0,50000.00000000001,88863.4615384615,1.7772692307692302,45478.80824233096,2273.940412116548,40930.92741809786,2273.940412116548,5839.6595543968315,10000.0,1.0,0,0,0,5
7,800000.0000000001,0.8000000000000002,578225.8721412052,9999.0,1272115.384615385,545192.3076923077,365571.34615384624,161351.73076923078,200000.0,0,50000.00000000001,161351.73076923075,3.227034615384615,47724.25173617065,2386.2125868085323,42951.826562553586,2386.2125868085323,8225.872141205364,10000.0,1.0,0,0,0,6
8,750000.0,0.75,590672.0792342369,9999.0,1453846.1538461545,545192.3076923077,412205.36538461543,246448.4807692308,250000.00000000006,0,50000.000000000015,246448.48076923075,4.928969615384615,48924.14186063259,2446.2070930316295,44031.72767456933,2446.2070930316295,10672.079234236993,10000.0,1.0,0,0,0,7
9,700000.0,0.7,603150.8314311219,9999.0,1635576.923076924,545192.3076923077,449133.4211538462,341251.19423076924,300000.00000000006,0,50000.00000000001,341251.1942307692,6.8250238846153835,49575.04393770215,2478.752196885108,44617.53954393194,2478.752196885108,13150.8314311221,10000.0,1.0,0,0,0,8
10,650000.0,0.65,615646.9441127572,9999.0,1817307.6923076934,545192.3076923077,478486.4521153846,443628.9325,350000.00000000006,0,50000.00000000001,443628.93249999994,8.87257865,49922.25363270563,2496.1126816352817,44930.02826943507,2496.1126816352817,15646.944112757381,10000.0,1.0,0,0,0,9
11,600000.0,0.6,628151.9140647337,9999.0,1999038.461538463,545192.3076923077,501874.20328846155,551971.9505576923,400000.0000000001,0,50000.00000000001,551971.9505576922,11.039439011153844,50099.39903952727,2504.9699519763635,45089.459135574536,2504.9699519763635,18151.914064733744,10000.0,1.0,0,0,0,10
12,550000.0,0.55,640661.0157907514,9999.0,2180769.2307692324,545192.3076923077,520537.074075,665039.8490019231,450000.0000000001,0,50000.000000000015,665039.8490019229,13.300796980038458,50182.03452035478,2509.101726017739,45163.8310683193,2509.101726017739,20661.015790751484,10000.0,1.0,0,0,0,11
13,1000000.0,1.0,153171.678146831,0.3142051862859676,2362500.000000002,545192.3076923077,535443.7069575001,781863.9853501923,500000.00000000006,0,50000.00000000001,781863.9853501921,15.637279707003842,50213.24712159268,2510.6623560796343,45191.922409433406,2510.6623560796343,23171.678146831116,10000.0,1.0,0,0,0,12
14,950000.0,0.95,165682.55276182608,9999.0,2544230.7692307713,545192.3076923077,547357.1816559809,901681.2798824807,550000.0000000001,0,50000.000000000015,901681.2798824805,18.03362559764961,50217.49229990209,2510.874614995105,45195.743069911885,2510.874614995105,25682.552761826224,10000.0,1.0,0,0,0,13
15,900000.0,0.9,178192.97638272247,9999.0,2725961.538461541,545192.3076923077,556882.0456641751,1023887.1851050557,600000.0000000001,0,50000.00000000001,1023887.1851050556,20.47774370210111,50208.472417927056,2510.423620896353,45187.62517613435,2510.423620896353,28192.976382722576,10000.0,1.0,0,0,0,14
