epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach,repetition_run,iteration_time
1,1000000.0,1.0,501000.0,9999.0,265384.6153846154,265384.6153846154,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0,0,0
2,1000000.0,1.0,502000.0,9999.0,530769.2307692308,530769.2307692308,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0,0,1
3,1000000.0,1.0,503000.0,9999.0,796153.846153846,796153.8461538461,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,0,0,0,2
4,950000.0,0.95,504407.60869565216,9999.0,1061538.4615384613,796153.8461538461,26538.461538461546,188846.15384615381,50000.0,0,50000.0,188846.1538461538,3.7769230769230755,8152.173913043479,407.608695652174,7336.956521739131,407.608695652174,407.608695652174,1000.0,1.0,0,0,0,3
5,900000.0,0.9,506149.72826086957,9999.0,1326923.0769230765,796153.8461538461,29192.307692307677,401576.92307692306,100000.0,0,50000.00000000001,401576.923076923,8.03153846153846,14842.391304347826,742.1195652173913,13358.152173913044,742.1195652173913,1149.7282608695652,1000.0,1.0,0,0,0,4
6,850000.0,0.85,508167.0788043478,9999.0,1592307.6923076918,796153.8461538461,29457.69230769231,616696.1538461538,150000.0,0,50000.0,616696.1538461538,12.333923076923075,20347.01086956522,1017.3505434782611,18312.3097826087,1017.3505434782611,2167.078804347826,1000.0,1.0,0,0,0,5
7,800000.0,0.8,510411.51290760865,9999.0,1857692.307692307,796153.8461538461,29484.230769230766,832054.2307692305,200000.0,0,50000.0,832054.2307692308,16.641084615384614,24888.682065217392,1244.4341032608697,22399.81385869565,1244.4341032608697,3411.512907608696,1000.0,1.0,0,0,0,6
8,750000.0,0.75,512843.8595448369,9999.0,2123076.9230769225,796153.8461538461,29486.884615384603,1047436.1923076921,250000.0,0,49999.99999999999,1047436.1923076921,20.948723846153843,28646.93274456522,1432.3466372282612,25782.239470108696,1432.3466372282612,4843.859544836957,1000.0,1.0,0,0,0,7
9,700000.0,0.7,515432.1922741168,9999.0,2388461.538461538,796153.8461538461,29487.14999999999,1262820.542307692,300000.0,0,50000.0,1262820.542307692,25.25641084615384,31766.654585597826,1588.3327292798913,28589.989127038047,1588.3327292798913,6432.192274116848,1000.0,1.0,0,0,0,8
10,650000.0,0.65,518150.4375354109,9999.0,2653846.1538461535,796153.8461538461,29487.176538461525,1478205.131153846,350000.0,0,49999.99999999999,1478205.1311538462,29.564102623076923,34364.90522588315,1718.2452612941577,30928.41470329484,1718.2452612941577,8150.437535411006,1000.0,1.0,0,0,0,9
