epoch,audience_reserve,ar_ratio,treasury,treasury_runway_estimate,total_acr_issued,total_acr_vesting,total_acr_available,total_acr_queued,total_acr_settled,settlement_requested_z1u_epoch,settlement_executed_z1u_epoch,settlement_queue_z1u,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,z1u_burned_epoch,cumulative_z1u_burned,brand_inflow_epoch,throttle_multiplier,throttle_active,ar_floor_breach,repetition_run,iteration_time
1,1000000.0,1.0,525000.0,9999.0,137019.23076923078,137019.23076923078,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,1.0,0,0,0,0
2,1000000.0,1.0,550000.0,9999.0,274038.46153846156,274038.46153846156,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,1.0,0,0,0,1
3,1000000.0,1.0,575000.0,9999.0,411057.69230769237,411057.6923076923,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,1.0,0,0,0,2
4,982692.3076923077,0.9826923076923078,600627.4038461539,9999.0,548076.9230769231,411057.6923076923,119711.53846153847,0.0,17307.69230769231,0,17307.69230769231,-1.8189894035458565e-12,-3.637978807091713e-17,12548.076923076924,627.4038461538462,11293.269230769234,627.4038461538462,627.4038461538462,25000.0,1.0,0,0,0,3
5,950586.5384615385,0.9505865384615385,626931.9711538461,9999.0,685096.1538461539,411057.6923076923,224624.99999999997,0.0,49413.461538461546,0,32105.769230769234,-3.637978807091713e-12,-7.275957614183426e-17,26091.346153846156,1304.5673076923076,23482.211538461543,1304.5673076923076,1931.9711538461538,25000.0,1.0,0,0,0,4
6,905768.2692307692,0.9057682692307693,653871.7740384615,9999.0,822115.3846153846,411057.6923076923,316825.96153846156,0.0,94231.73076923077,0,44818.269230769234,0.0,0.0,38796.057692307695,1939.8028846153848,34916.45192307693,1939.8028846153848,3871.7740384615386,25000.0,1.0,0,0,0,5
7,855768.2692307692,0.8557682692307692,681169.2990598282,9999.0,959134.6153846154,411057.6923076923,398058.1730769231,5787.019230769234,144231.73076923075,0,50000.0,5787.019230769234,0.11574038461538469,45950.500427333856,2297.525021366693,41355.450384600466,2297.525021366693,6169.299059828231,25000.0,1.0,0,0,0,6
8,805768.2692307692,0.8057682692307693,708574.8320989691,9999.0,1096153.846153846,411057.6923076923,469788.02884615393,21076.394230769234,194231.73076923078,0,50000.00000000001,21076.394230769234,0.4215278846153847,48110.660782818566,2405.5330391409293,43299.59470453672,2405.5330391409293,8574.83209896916,25000.0,1.0,0,0,0,7
9,755768.2692307692,0.7557682692307692,736029.0989334785,9999.0,1233173.0769230768,411057.6923076923,533255.4432692308,44628.2105769231,244231.73076923078,0,50000.0,44628.210576923106,0.8925642115384621,49085.3366901871,2454.2668345093552,44176.80302116839,2454.2668345093552,11029.098933478514,25000.0,1.0,0,0,0,8
10,705768.2692307692,0.7057682692307693,763508.706107871,9999.0,1370192.3076923075,411057.6923076923,589514.2479807693,75388.63663461542,294231.7307692308,0,49999.999999999985,75388.63663461544,1.5077727326923087,49592.14348785112,2479.607174392556,44632.92913906601,2479.607174392556,13508.70610787107,25000.0,1.0,0,0,0,9
11,655768.2692307692,0.6557682692307693,791002.1717079723,9999.0,1507211.5384615383,411057.6923076923,639464.465048077,112457.65033653853,344231.7307692308,0,49999.99999999999,112457.65033653854,2.249153006730771,49869.31200202607,2493.4656001013036,44882.380801823456,2493.4656001013036,16002.171707972373,25000.0,1.0,0,0,0,10
12,605768.2692307692,0.6057682692307692,818503.4242502713,9999.0,1644230.769230769,411057.6923076923,683878.2458798079,155063.10027403856,394231.7307692308,0,49999.99999999999,155063.10027403856,3.101262005480771,50025.05084597776,2501.2525422988883,45022.54576137999,2501.2525422988883,18503.424250271262,25000.0,1.0,0,0,0,11
13,555768.2692307692,0.5557682692307693,846009.1167869574,9999.0,1781249.9999999998,411057.6923076923,723420.8428520195,202539.73407105778,444231.7307692308,0,50000.0,202539.7340710578,4.050794681421157,50113.85073372322,2505.6925366861615,45102.46566035091,2505.6925366861615,21009.116786957424,25000.0,1.0,0,0,0,12
14,505768.26923076925,0.5057682692307692,873517.332697745,9999.0,1918269.2307692305,411057.6923076923,758667.6635986444,254312.1440936636,494231.73076923075,0,50000.0,254312.1440936636,5.086242881873273,50164.31821575213,2508.215910787607,45147.886394176916,2508.215910787607,23517.33269774503,25000.0,1.0,0,0,0,13
15,1000000.0,1.0,356795.20078207646,0.6904972300282799,2055288.4615384613,411057.6923076923,790118.2187128128,309880.81974872615,544231.7307692308,0,50000.0,309880.8197487262,6.197616394974524,50191.977071247886,2509.5988535623947,45172.7793641231,2509.5988535623947,26026.931551307425,25000.0,1.0,0,0,0,14
16,950000.0,0.95,384305.4792471945,9999.0,2192307.692307692,411057.6923076923,818207.5922347575,368810.6769960122,594231.7307692308,0,49999.999999999985,368810.67699601233,7.376213539920247,50205.56930236182,2510.278465118091,45185.01237212563,2510.278465118091,28537.210016425517,25000.0,1.0,0,0,0,15
17,900000.0,0.9,411815.9907509052,9999.0,2329326.923076923,411057.6923076923,843315.9260756624,430721.57392433815,644231.7307692308,0,49999.999999999985,430721.5739243383,8.614431478486766,50210.23007421517,2510.511503710759,45189.20706679366,2510.511503710759,31047.721520136274,25000.0,1.0,0,0,0,16
18,850000.0,0.85,439326.44644492987,9999.0,2466346.153846154,411057.6923076923,865776.3036444605,495280.42712477077,694231.7307692308,0,49999.99999999998,495280.42712477094,9.905608542495418,50209.113880493795,2510.4556940246894,45188.20249244441,2510.4556940246894,33558.17721416097,25000.0,1.0,0,0,0,17
19,800000.0000000001,0.8000000000000002,466836.6586263749,9999.0,2603365.384615385,411057.6923076923,885881.3364285079,562194.625109954,744231.7307692308,0,49999.999999999985,562194.6251099544,11.243892502199088,50204.24362890098,2510.2121814450493,45183.819266010876,2510.2121814450493,36068.38939560602,25000.0,1.0,0,0,0,18
20,750000.0000000001,0.7500000000000001,494346.5069027854,9999.0,2740384.615384616,411057.6923076923,903888.6942096333,631206.4980980596,794231.7307692308,0,49999.99999999998,631206.4980980598,12.624129961961195,50196.96552821062,2509.848276410531,45177.26897538956,2509.848276410531,38578.23767201655,25000.0,1.0,0,0,0,19
21,700000.0000000001,0.7000000000000001,521855.9169617975,9999.0,2877403.846153847,411057.6923076923,920025.7705614778,702088.652515446,844231.7307692308,0,49999.999999999985,702088.6525154461,14.04177305030892,50188.20118024183,2509.4100590120916,45169.38106221764,2509.4100590120916,41087.64773102864,25000.0,1.0,0,0,0,20
22,650000.0000000002,0.6500000000000002,549364.8466259268,9999.0,3014423.076923078,411057.6923076923,934493.6369671151,774640.0168790394,894231.7307692308,0,49999.99999999999,774640.0168790396,15.492800337580793,50178.593282585134,2508.929664129257,45160.73395432663,2508.929664129257,43596.577395157896,25000.0,1.0,0,0,0,21
23,600000.0000000002,0.6000000000000002,576873.2763253056,9999.0,3151442.307692309,411057.6923076923,947470.408830309,848682.4757850764,944231.7307692308,0,49999.99999999998,848682.4757850766,16.97364951570153,50168.59398757492,2508.429699378746,45151.734588817424,2508.429699378746,46105.007094536646,25000.0,1.0,0,0,0,22
24,550000.0000000002,0.5500000000000003,604381.2023867262,9999.0,3288461.53846154,411057.6923076923,959114.1229485364,924057.9924360798,994231.7307692308,0,49999.999999999985,924057.99243608,18.4811598487216,50158.52122841134,2507.926061420567,45142.6691055702,2507.926061420567,48612.93315595721,25000.0,1.0,0,0,0,23
25,500000.00000000023,0.5000000000000002,631888.6322039845,9999.0,3425480.769230771,411057.6923076923,969565.2072420232,1000626.1389118237,1044231.7307692308,0,49999.999999999985,1000626.1389118239,20.012522778236477,50148.59634516803,2507.4298172584017,45133.736710651225,2507.4298172584017,51120.36297321561,25000.0,1.0,0,0,0,24
26,1000000.0,1.0,109395.58071582089,0.2093723168264929,3562500.000000002,411057.6923076923,978948.6085996269,1078261.968323451,1094231.7307692308,0,50000.00000000001,1078261.9683234505,21.56523936646901,50138.97023671989,2506.948511835995,45125.07321304791,2506.948511835995,53627.31148505161,25000.0,1.0,0,0,0,25
27,950000.0,0.95,136902.06782104756,9999.0,3699519.230769233,411057.6923076923,987375.6327729027,1156854.174919406,1144231.7307692308,0,50000.00000000001,1156854.1749194057,23.137083498388115,50129.74210453363,2506.4871052266817,45116.767894080265,2506.4871052266817,56133.79859027829,25000.0,1.0,0,0,0,26
28,900000.0,0.9,164408.11648021697,9999.0,3836538.461538464,411057.6923076923,994945.5406796586,1236303.4977818807,1194231.7307692308,0,50000.0,1236303.4977818807,24.726069955637612,50120.97318338816,2506.048659169408,45108.87586504934,2506.048659169408,58639.8472494477,25000.0,1.0,0,0,0,27
29,850000.0,0.85,191913.75132740763,9999.0,3973557.692307695,411057.6923076923,1001746.9377691486,1316521.3314616214,1244231.7307692305,0,50000.0,1316521.3314616214,26.33042662923243,50112.696943813666,2505.634847190683,45101.4272494323,2505.634847190683,61145.482096638385,25000.0,1.0,0,0,0,28
30,800000.0,0.8,219418.9976641746,9999.0,4110576.923076926,411057.6923076923,1007858.9868653517,1397428.5131346495,1294231.7307692305,0,50000.0,1397428.5131346493,27.948570262692986,50104.92673533967,2505.2463367669834,45094.4340618057,2505.2463367669834,63650.72843340537,25000.0,1.0,0,0,0,29
