iteration_time,epoch_mean,epoch_std,epoch_min,epoch_max,audience_reserve_mean,audience_reserve_std,audience_reserve_min,audience_reserve_max,reserve_ratio_mean,reserve_ratio_std,reserve_ratio_min,reserve_ratio_max,treasury_mean,treasury_std,treasury_min,treasury_max,treasury_runway_estimate_mean,treasury_runway_estimate_std,treasury_runway_estimate_min,treasury_runway_estimate_max,total_claims_issued_mean,total_claims_issued_std,total_claims_issued_min,total_claims_issued_max,total_claims_vesting_mean,total_claims_vesting_std,total_claims_vesting_min,total_claims_vesting_max,total_claims_available_mean,total_claims_available_std,total_claims_available_min,total_claims_available_max,total_claims_queued_mean,total_claims_queued_std,total_claims_queued_min,total_claims_queued_max,total_claims_settled_mean,total_claims_settled_std,total_claims_settled_min,total_claims_settled_max,settlement_requested_epoch_mean,settlement_requested_epoch_std,settlement_requested_epoch_min,settlement_requested_epoch_max,settlement_executed_epoch_mean,settlement_executed_epoch_std,settlement_executed_epoch_min,settlement_executed_epoch_max,settlement_queue_mean,settlement_queue_std,settlement_queue_min,settlement_queue_max,settlement_pressure_ratio_mean,settlement_pressure_ratio_std,settlement_pressure_ratio_min,settlement_pressure_ratio_max,utility_spend_epoch_mean,utility_spend_epoch_std,utility_spend_epoch_min,utility_spend_epoch_max,treasury_fees_epoch_mean,treasury_fees_epoch_std,treasury_fees_epoch_min,treasury_fees_epoch_max,provider_payments_epoch_mean,provider_payments_epoch_std,provider_payments_epoch_min,provider_payments_epoch_max,tokens_burned_epoch_mean,tokens_burned_epoch_std,tokens_burned_epoch_min,tokens_burned_epoch_max,cumulative_tokens_burned_mean,cumulative_tokens_burned_std,cumulative_tokens_burned_min,cumulative_tokens_burned_max,ecosystem_inflow_epoch_mean,ecosystem_inflow_epoch_std,ecosystem_inflow_epoch_min,ecosystem_inflow_epoch_max,throttle_multiplier_mean,throttle_multiplier_std,throttle_multiplier_min,throttle_multiplier_max,throttle_active_mean,throttle_active_std,throttle_active_min,throttle_active_max,reserve_floor_breach_mean,reserve_floor_breach_std,reserve_floor_breach_min,reserve_floor_breach_max,run_id,scenario_id,config_hash,seed
0,0.0,,0,0,5000000.0,,5000000.0,5000000.0,1.0,,1.0,1.0,2500000.0,,2500000.0,2500000.0,9999.0,,9999.0,9999.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
1,1.0,,1,1,5000000.0,,5000000.0,5000000.0,1.0,,1.0,1.0,2525000.0,,2525000.0,2525000.0,9999.0,,9999.0,9999.0,1817.3076923076926,,1817.3076923076926,1817.3076923076926,1817.3076923076926,,1817.3076923076926,1817.3076923076926,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,25000.0,,25000.0,25000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
2,2.0,,2,2,5000000.0,,5000000.0,5000000.0,1.0,,1.0,1.0,2550000.0,,2550000.0,2550000.0,9999.0,,9999.0,9999.0,3634.615384615385,,3634.615384615385,3634.615384615385,3634.615384615385,,3634.615384615385,3634.615384615385,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,25000.0,,25000.0,25000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
3,3.0,,3,3,5000000.0,,5000000.0,5000000.0,1.0,,1.0,1.0,2575000.0,,2575000.0,2575000.0,9999.0,,9999.0,9999.0,5451.923076923078,,5451.923076923078,5451.923076923078,5451.923076923078,,5451.923076923078,5451.923076923078,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,25000.0,,25000.0,25000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
4,4.0,,4,4,4999964.814759615,,4999964.814759615,4999964.814759615,0.999992962951923,,0.999992962951923,0.999992962951923,2600004.5091471155,,2600004.5091471155,2600004.5091471155,9999.0,,9999.0,9999.0,7269.230769230771,,7269.230769230771,7269.230769230771,5451.923076923078,,5451.923076923078,5451.923076923078,1481.2500000000002,,1481.2500000000002,1481.2500000000002,0.0,,0.0,0.0,336.0576923076923,,336.0576923076923,336.0576923076923,0.0,,0,0,35.18524038461538,,35.18524038461538,35.18524038461538,0.0,,0.0,0.0,0.0,,0.0,0.0,22.54573557692308,,22.54573557692308,22.54573557692308,4.509147115384616,,4.509147115384616,4.509147115384616,16.90930168269231,,16.90930168269231,16.90930168269231,1.127286778846154,,1.127286778846154,1.127286778846154,1.127286778846154,,1.127286778846154,1.127286778846154,25000.0,,25000.0,25000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
5,5.0,,5,5,4999901.700290864,,4999901.700290864,4999901.700290864,0.9999803400581728,,0.9999803400581728,0.9999803400581728,2625014.015655433,,2625014.015655433,2625014.015655433,9999.0,,9999.0,9999.0,9086.538461538465,,9086.538461538465,9086.538461538465,5451.923076923078,,5451.923076923078,5451.923076923078,2695.7451923076924,,2695.7451923076924,2695.7451923076924,0.0,,0.0,0.0,938.8701923076924,,938.8701923076924,938.8701923076924,0.0,,0,0,63.114468750000015,,63.114468750000015,63.114468750000015,0.0,,0.0,0.0,0.0,,0.0,0.0,47.53254158653847,,47.53254158653847,47.53254158653847,9.506508317307695,,9.506508317307695,9.506508317307695,35.64940618990385,,35.64940618990385,35.64940618990385,2.3766270793269237,,2.3766270793269237,2.3766270793269237,3.5039138581730778,,3.5039138581730778,3.5039138581730778,25000.0,,25000.0,25000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
6,6.0,,6,6,4999816.234511418,,4999816.234511418,4999816.234511418,0.9999632469022837,,0.9999632469022837,0.9999632469022837,2650028.086270815,,2650028.086270815,2650028.086270815,9999.0,,9999.0,9999.0,10903.846153846158,,10903.846153846158,10903.846153846158,5451.923076923078,,5451.923076923078,5451.923076923078,3696.760817307693,,3696.760817307693,3696.760817307693,0.0,,0.0,0.0,1755.162259615385,,1755.162259615385,1755.162259615385,0.0,,0,0,85.4657794471154,,85.4657794471154,85.4657794471154,-7.105427357601002e-15,,-7.105427357601002e-15,-7.105427357601002e-15,-1.4210854715202005e-19,,-1.4210854715202005e-19,-1.4210854715202005e-19,70.35307691105771,,70.35307691105771,70.35307691105771,14.070615382211543,,14.070615382211543,14.070615382211543,52.76480768329328,,52.76480768329328,52.76480768329328,3.5176538455528856,,3.5176538455528856,3.5176538455528856,7.021567703725964,,7.021567703725964,7.021567703725964,25000.0,,25000.0,25000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
7,7.0,,7,7,4999712.7449226985,,4999712.7449226985,4999712.7449226985,0.9999425489845397,,0.9999425489845397,0.9999425489845397,2675046.0980049814,,2675046.0980049814,2675046.0980049814,9999.0,,9999.0,9999.0,12721.153846153851,,12721.153846153851,12721.153846153851,5451.923076923078,,5451.923076923078,5451.923076923078,4525.629266826923,,4525.629266826923,4525.629266826923,0.0,,0.0,0.0,2743.6015024038466,,2743.6015024038466,2743.6015024038466,0.0,,0,0,103.48958871995194,,103.48958871995194,103.48958871995194,0.0,,0.0,0.0,0.0,,0.0,0.0,90.05867083233174,,90.05867083233174,90.05867083233174,18.01173416646635,,18.01173416646635,18.01173416646635,67.5440031242488,,67.5440031242488,67.5440031242488,4.502933541616588,,4.502933541616588,4.502933541616588,11.52450124534255,,11.52450124534255,11.52450124534255,25000.0,,25000.0,25000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
8,8.0,,8,8,4999594.619583043,,4999594.619583043,4999594.619583043,0.9999189239166086,,0.9999189239166086,0.9999189239166086,2700067.4350604084,,2700067.4350604084,2700067.4350604084,9999.0,,9999.0,9999.0,14538.461538461544,,14538.461538461544,14538.461538461544,5451.923076923078,,5451.923076923078,5451.923076923078,5214.710219350962,,5214.710219350962,5214.710219350962,0.0,,0.0,0.0,3871.828242187501,,3871.828242187501,3871.828242187501,0.0,,0,0,118.12533965534857,,118.12533965534857,118.12533965534857,0.0,,0.0,0.0,0.0,,0.0,0.0,106.68527713530649,,106.68527713530649,106.68527713530649,21.337055427061298,,21.337055427061298,21.337055427061298,80.01395785147986,,80.01395785147986,80.01395785147986,5.334263856765324,,5.334263856765324,5.334263856765324,16.858765102107874,,16.858765102107874,16.858765102107874,25000.0,,25000.0,25000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
9,9.0,,9,9,4999464.534588635,,4999464.534588635,4999464.534588635,0.999892906917727,,0.999892906917727,0.999892906917727,2725091.5465554665,,2725091.5465554665,2725091.5465554665,9999.0,,9999.0,9999.0,16355.769230769238,,16355.769230769238,16355.769230769238,5451.923076923078,,5451.923076923078,5451.923076923078,5789.563332782453,,5789.563332782453,5789.563332782453,0.0,,0.0,0.0,5114.282821063703,,5114.282821063703,5114.282821063703,0.0,,0,0,130.0849944083384,,130.0849944083384,130.0849944083384,1.4210854715202004e-14,,1.4210854715202004e-14,1.4210854715202004e-14,2.842170943040401e-19,,2.842170943040401e-19,2.842170943040401e-19,120.55747528797028,,120.55747528797028,120.55747528797028,24.111495057594055,,24.111495057594055,24.111495057594055,90.41810646597771,,90.41810646597771,90.41810646597771,6.027873764398514,,6.027873764398514,6.027873764398514,22.886638866506384,,22.886638866506384,22.886638866506384,25000.0,,25000.0,25000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
