epoch,audience_reserve,reserve_ratio,treasury,treasury_runway_estimate,total_claims_issued,total_claims_vesting,total_claims_available,total_claims_queued,total_claims_settled,settlement_requested_epoch,settlement_executed_epoch,settlement_queue,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,tokens_burned_epoch,cumulative_tokens_burned,ecosystem_inflow_epoch,throttle_multiplier,throttle_active,reserve_floor_breach,repetition_run,iteration_time,run_id,scenario_id,config_hash,seed
0,5000000.0,1.0,2500000.0,9999.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
1,5000000.0,1.0,2525000.0,9999.0,1817.3076923076926,1817.3076923076926,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,1.0,0,0,0,1,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
2,5000000.0,1.0,2550000.0,9999.0,3634.615384615385,3634.615384615385,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,1.0,0,0,0,2,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
3,5000000.0,1.0,2575000.0,9999.0,5451.923076923078,5451.923076923078,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,1.0,0,0,0,3,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
4,4999964.814759615,0.999992962951923,2600004.5091471155,9999.0,7269.230769230771,5451.923076923078,1481.2500000000002,0.0,336.0576923076923,0,35.18524038461538,0.0,0.0,22.54573557692308,4.509147115384616,16.90930168269231,1.127286778846154,1.127286778846154,25000.0,1.0,0,0,0,4,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
5,4999901.700290864,0.9999803400581728,2625014.015655433,9999.0,9086.538461538465,5451.923076923078,2695.7451923076924,0.0,938.8701923076924,0,63.114468750000015,0.0,0.0,47.53254158653847,9.506508317307695,35.64940618990385,2.3766270793269237,3.5039138581730778,25000.0,1.0,0,0,0,5,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
6,4999816.234511418,0.9999632469022837,2650028.086270815,9999.0,10903.846153846158,5451.923076923078,3696.760817307693,0.0,1755.162259615385,0,85.4657794471154,-7.105427357601002e-15,-1.4210854715202005e-19,70.35307691105771,14.070615382211543,52.76480768329328,3.5176538455528856,7.021567703725964,25000.0,1.0,0,0,0,6,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
7,4999712.7449226985,0.9999425489845397,2675046.0980049814,9999.0,12721.153846153851,5451.923076923078,4525.629266826923,0.0,2743.6015024038466,0,103.48958871995194,0.0,0.0,90.05867083233174,18.01173416646635,67.5440031242488,4.502933541616588,11.52450124534255,25000.0,1.0,0,0,0,7,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
8,4999594.619583043,0.9999189239166086,2700067.4350604084,9999.0,14538.461538461544,5451.923076923078,5214.710219350962,0.0,3871.828242187501,0,118.12533965534857,0.0,0.0,106.68527713530649,21.337055427061298,80.01395785147986,5.334263856765324,16.858765102107874,25000.0,1.0,0,0,0,8,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
9,4999464.534588635,0.999892906917727,2725091.5465554665,9999.0,16355.769230769238,5451.923076923078,5789.563332782453,0.0,5114.282821063703,0,130.0849944083384,1.4210854715202004e-14,2.842170943040401e-19,120.55747528797028,24.111495057594055,90.41810646597771,6.027873764398514,22.886638866506384,25000.0,1.0,0,0,0,9,z1-solvency-baseline-v1,z1-solvency-baseline-v1,870c15db421a318ead7a02d6c9cf4bd2596f212c89978d7484a1c190ce8b70cb,42
