iteration_time,epoch_mean,epoch_std,epoch_min,epoch_max,audience_reserve_mean,audience_reserve_std,audience_reserve_min,audience_reserve_max,reserve_ratio_mean,reserve_ratio_std,reserve_ratio_min,reserve_ratio_max,treasury_mean,treasury_std,treasury_min,treasury_max,treasury_runway_estimate_mean,treasury_runway_estimate_std,treasury_runway_estimate_min,treasury_runway_estimate_max,total_claims_issued_mean,total_claims_issued_std,total_claims_issued_min,total_claims_issued_max,total_claims_vesting_mean,total_claims_vesting_std,total_claims_vesting_min,total_claims_vesting_max,total_claims_available_mean,total_claims_available_std,total_claims_available_min,total_claims_available_max,total_claims_queued_mean,total_claims_queued_std,total_claims_queued_min,total_claims_queued_max,total_claims_settled_mean,total_claims_settled_std,total_claims_settled_min,total_claims_settled_max,settlement_requested_epoch_mean,settlement_requested_epoch_std,settlement_requested_epoch_min,settlement_requested_epoch_max,settlement_executed_epoch_mean,settlement_executed_epoch_std,settlement_executed_epoch_min,settlement_executed_epoch_max,settlement_queue_mean,settlement_queue_std,settlement_queue_min,settlement_queue_max,settlement_pressure_ratio_mean,settlement_pressure_ratio_std,settlement_pressure_ratio_min,settlement_pressure_ratio_max,utility_spend_epoch_mean,utility_spend_epoch_std,utility_spend_epoch_min,utility_spend_epoch_max,treasury_fees_epoch_mean,treasury_fees_epoch_std,treasury_fees_epoch_min,treasury_fees_epoch_max,provider_payments_epoch_mean,provider_payments_epoch_std,provider_payments_epoch_min,provider_payments_epoch_max,tokens_burned_epoch_mean,tokens_burned_epoch_std,tokens_burned_epoch_min,tokens_burned_epoch_max,cumulative_tokens_burned_mean,cumulative_tokens_burned_std,cumulative_tokens_burned_min,cumulative_tokens_burned_max,ecosystem_inflow_epoch_mean,ecosystem_inflow_epoch_std,ecosystem_inflow_epoch_min,ecosystem_inflow_epoch_max,throttle_multiplier_mean,throttle_multiplier_std,throttle_multiplier_min,throttle_multiplier_max,throttle_active_mean,throttle_active_std,throttle_active_min,throttle_active_max,reserve_floor_breach_mean,reserve_floor_breach_std,reserve_floor_breach_min,reserve_floor_breach_max,run_id,scenario_id,config_hash,seed
0,0.0,,0,0,5000000.0,,5000000.0,5000000.0,1.0,,1.0,1.0,2500000.0,,2500000.0,2500000.0,9999.0,,9999.0,9999.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
1,1.0,,1,1,5000000.0,,5000000.0,5000000.0,1.0,,1.0,1.0,2550000.0,,2550000.0,2550000.0,9999.0,,9999.0,9999.0,858.173076923077,,858.173076923077,858.173076923077,858.173076923077,,858.173076923077,858.173076923077,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,50000.0,,50000.0,50000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
2,2.0,,2,2,5000000.0,,5000000.0,5000000.0,1.0,,1.0,1.0,2600000.0,,2600000.0,2600000.0,9999.0,,9999.0,9999.0,1716.346153846154,,1716.346153846154,1716.346153846154,1716.346153846154,,1716.346153846154,1716.346153846154,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,50000.0,,50000.0,50000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
3,3.0,,3,3,5000000.0,,5000000.0,5000000.0,1.0,,1.0,1.0,2650000.0,,2650000.0,2650000.0,9999.0,,9999.0,9999.0,2574.519230769231,,2574.519230769231,2574.519230769231,2574.519230769231,,2574.519230769231,2574.519230769231,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,50000.0,,50000.0,50000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
4,4.0,,4,4,4999984.423076922,,4999984.423076922,4999984.423076922,0.9999968846153844,,0.9999968846153844,0.9999968846153844,2700003.0667067305,,2700003.0667067305,2700003.0667067305,9999.0,,9999.0,9999.0,3432.692307692308,,3432.692307692308,3432.692307692308,2574.519230769231,,2574.519230769231,2574.519230769231,806.25,,806.25,806.25,0.0,,0.0,0.0,51.92307692307693,,51.92307692307693,51.92307692307693,0.0,,0,0,15.576923076923077,,15.576923076923077,15.576923076923077,0.0,,0.0,0.0,0.0,,0.0,0.0,12.266826923076923,,12.266826923076923,12.266826923076923,3.066706730769231,,3.066706730769231,3.066706730769231,8.586778846153846,,8.586778846153846,8.586778846153846,0.6133413461538462,,0.6133413461538462,0.6133413461538462,0.6133413461538462,,0.6133413461538462,0.6133413461538462,50000.0,,50000.0,50000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
5,5.0,,5,5,4999954.34014423,,4999954.34014423,4999954.34014423,0.999990868028846,,0.999990868028846,0.999990868028846,2750009.548167067,,2750009.548167067,2750009.548167067,9999.0,,9999.0,9999.0,4290.865384615385,,4290.865384615385,4290.865384615385,2574.519230769231,,2574.519230769231,2574.519230769231,1564.1466346153845,,1564.1466346153845,1564.1466346153845,0.0,,0.0,0.0,152.19951923076923,,152.19951923076923,152.19951923076923,0.0,,0,0,30.082932692307693,,30.082932692307693,30.082932692307693,0.0,,0.0,0.0,0.0,,0.0,0.0,25.925841346153845,,25.925841346153845,25.925841346153845,6.481460336538461,,6.481460336538461,6.481460336538461,18.148088942307695,,18.148088942307695,18.148088942307695,1.2962920673076925,,1.2962920673076925,1.2962920673076925,1.9096334134615387,,1.9096334134615387,1.9096334134615387,50000.0,,50000.0,50000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
6,6.0,,6,6,4999910.736117788,,4999910.736117788,4999910.736117788,0.9999821472235575,,0.9999821472235575,0.9999821472235575,2800019.378057392,,2800019.378057392,2800019.378057392,9999.0,,9999.0,9999.0,5149.038461538462,,5149.038461538462,5149.038461538462,2574.519230769231,,2574.519230769231,2574.519230769231,2276.9729567307695,,2276.9729567307695,2276.9729567307695,0.0,,0.0,0.0,297.54627403846155,,297.54627403846155,297.54627403846155,0.0,,0,0,43.6040264423077,,43.6040264423077,43.6040264423077,0.0,,0.0,0.0,0.0,,0.0,0.0,39.31956129807693,,39.31956129807693,39.31956129807693,9.829890324519232,,9.829890324519232,9.829890324519232,27.52369290865385,,27.52369290865385,27.52369290865385,1.9659780649038465,,1.9659780649038465,1.9659780649038465,3.875611478365385,,3.875611478365385,3.875611478365385,50000.0,,50000.0,50000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
7,7.0,,7,7,4999854.517947716,,4999854.517947716,4999854.517947716,0.9999709035895431,,0.9999709035895431,0.9999709035895431,2850032.397487004,,2850032.397487004,2850032.397487004,9999.0,,9999.0,9999.0,6007.211538461539,,6007.211538461539,6007.211538461539,2574.519230769231,,2574.519230769231,2574.519230769231,2947.7521334134617,,2947.7521334134617,2947.7521334134617,0.0,,0.0,0.0,484.94017427884614,,484.94017427884614,484.94017427884614,0.0,,0,0,56.21817007211539,,56.21817007211539,56.21817007211539,0.0,,0.0,0.0,0.0,,0.0,0.0,52.07771844951924,,52.07771844951924,52.07771844951924,13.01942961237981,,13.01942961237981,13.01942961237981,36.45440291466347,,36.45440291466347,36.45440291466347,2.6038859224759623,,2.6038859224759623,2.6038859224759623,6.479497400841348,,6.479497400841348,6.479497400841348,50000.0,,50000.0,50000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
8,8.0,,8,8,4999786.521802433,,4999786.521802433,4999786.521802433,0.9999573043604866,,0.9999573043604866,0.9999573043604866,2900048.4242299385,,2900048.4242299385,2900048.4242299385,9999.0,,9999.0,9999.0,6865.384615384616,,6865.384615384616,6865.384615384616,2574.519230769231,,2574.519230769231,2574.519230769231,3579.2713927283658,,3579.2713927283658,3579.2713927283658,0.0,,0.0,0.0,711.5939918870192,,711.5939918870192,711.5939918870192,0.0,,0,0,67.99614528245193,,67.99614528245193,67.99614528245193,7.105427357601002e-15,,7.105427357601002e-15,7.105427357601002e-15,1.4210854715202005e-19,,1.4210854715202005e-19,1.4210854715202005e-19,64.10697173978366,,64.10697173978366,64.10697173978366,16.026742934945915,,16.026742934945915,16.026742934945915,44.87488021784857,,44.87488021784857,44.87488021784857,3.2053485869891833,,3.2053485869891833,3.2053485869891833,9.684845987830531,,9.684845987830531,9.684845987830531,50000.0,,50000.0,50000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
9,9.0,,9,9,4999707.5195028605,,4999707.5195028605,4999707.5195028605,0.9999415039005721,,0.9999415039005721,0.9999415039005721,2950067.2746152733,,2950067.2746152733,2950067.2746152733,9999.0,,9999.0,9999.0,7723.557692307693,,7723.557692307693,7723.557692307693,2574.519230769231,,2574.519230769231,2574.519230769231,4174.103471078726,,4174.103471078726,4174.103471078726,0.0,,0.0,0.0,974.9349904597357,,974.9349904597357,974.9349904597357,0.0,,0,0,79.00229957181492,,79.00229957181492,79.00229957181492,7.105427357601002e-15,,7.105427357601002e-15,7.105427357601002e-15,1.4210854715202005e-19,,1.4210854715202005e-19,1.4210854715202005e-19,75.40154133939303,,75.40154133939303,75.40154133939303,18.85038533484826,,18.85038533484826,18.85038533484826,52.78107893757512,,52.78107893757512,52.78107893757512,3.7700770669696517,,3.7700770669696517,3.7700770669696517,13.454923054800183,,13.454923054800183,13.454923054800183,50000.0,,50000.0,50000.0,1.0,,1.0,1.0,0.0,,0,0,0.0,,0,0,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
