epoch,audience_reserve,reserve_ratio,treasury,treasury_runway_estimate,total_claims_issued,total_claims_vesting,total_claims_available,total_claims_queued,total_claims_settled,settlement_requested_epoch,settlement_executed_epoch,settlement_queue,settlement_pressure_ratio,utility_spend_epoch,treasury_fees_epoch,provider_payments_epoch,tokens_burned_epoch,cumulative_tokens_burned,ecosystem_inflow_epoch,throttle_multiplier,throttle_active,reserve_floor_breach,repetition_run,iteration_time,run_id,scenario_id,config_hash,seed
0,5000000.0,1.0,2500000.0,9999.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
1,5000000.0,1.0,2550000.0,9999.0,858.173076923077,858.173076923077,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0,0,1,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
2,5000000.0,1.0,2600000.0,9999.0,1716.346153846154,1716.346153846154,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0,0,2,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
3,5000000.0,1.0,2650000.0,9999.0,2574.519230769231,2574.519230769231,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0,0,0,3,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
4,4999984.423076922,0.9999968846153844,2700003.0667067305,9999.0,3432.692307692308,2574.519230769231,806.25,0.0,51.92307692307693,0,15.576923076923077,0.0,0.0,12.266826923076923,3.066706730769231,8.586778846153846,0.6133413461538462,0.6133413461538462,50000.0,1.0,0,0,0,4,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
5,4999954.34014423,0.999990868028846,2750009.548167067,9999.0,4290.865384615385,2574.519230769231,1564.1466346153845,0.0,152.19951923076923,0,30.082932692307693,0.0,0.0,25.925841346153845,6.481460336538461,18.148088942307695,1.2962920673076925,1.9096334134615387,50000.0,1.0,0,0,0,5,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
6,4999910.736117788,0.9999821472235575,2800019.378057392,9999.0,5149.038461538462,2574.519230769231,2276.9729567307695,0.0,297.54627403846155,0,43.6040264423077,0.0,0.0,39.31956129807693,9.829890324519232,27.52369290865385,1.9659780649038465,3.875611478365385,50000.0,1.0,0,0,0,6,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
7,4999854.517947716,0.9999709035895431,2850032.397487004,9999.0,6007.211538461539,2574.519230769231,2947.7521334134617,0.0,484.94017427884614,0,56.21817007211539,0.0,0.0,52.07771844951924,13.01942961237981,36.45440291466347,2.6038859224759623,6.479497400841348,50000.0,1.0,0,0,0,7,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
8,4999786.521802433,0.9999573043604866,2900048.4242299385,9999.0,6865.384615384616,2574.519230769231,3579.2713927283658,0.0,711.5939918870192,0,67.99614528245193,7.105427357601002e-15,1.4210854715202005e-19,64.10697173978366,16.026742934945915,44.87488021784857,3.2053485869891833,9.684845987830531,50000.0,1.0,0,0,0,8,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
9,4999707.5195028605,0.9999415039005721,2950067.2746152733,9999.0,7723.557692307693,2574.519230769231,4174.103471078726,0.0,974.9349904597357,0,79.00229957181492,7.105427357601002e-15,1.4210854715202005e-19,75.40154133939303,18.85038533484826,52.78107893757512,3.7700770669696517,13.454923054800183,50000.0,1.0,0,0,0,9,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
10,4999618.224292648,0.9999236448585296,3000088.7716221684,9999.0,8581.73076923077,2574.519230769231,4734.625847291917,0.0,1272.5856911696214,0,89.29521021296576,7.105427357601002e-15,1.4210854715202005e-19,85.98802757958984,21.49700689489746,60.19161930571289,4.299401378979493,17.754324433779676,50000.0,1.0,0,0,0,10,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
11,4999519.296019758,0.9999038592039516,3050112.7478305595,9999.0,9439.903846153848,2574.519230769231,5263.03801457914,0.0,1602.3466008054763,0,98.92827289075646,1.4210854715202004e-14,2.842170943040401e-19,95.90483356602877,23.976208391507193,67.13338349622015,4.795241678301439,22.549566112081116,50000.0,1.0,0,0,0,11,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
12,4999411.345795589,0.9998822691591177,3100139.0462698834,9999.0,10298.076923076926,2574.519230769231,5761.377010938242,0.0,1962.1806813694507,0,107.95022416919228,1.4210854715202004e-14,2.842170943040401e-19,105.1937572972032,26.2984393243008,73.63563010804224,5.25968786486016,27.809253976941275,50000.0,1.0,0,0,0,12,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
13,4999294.940189809,0.9998589880379617,3150167.5203802413,9999.0,11156.250000000004,2574.519230769231,6231.531401931024,0.0,2350.199367299745,0,116.40560577908838,1.4210854715202004e-14,2.842170943040401e-19,113.89644143005616,28.474110357514043,79.72750900103932,5.694822071502808,33.504076048444084,50000.0,1.0,0,0,0,13,z1-solvency-stable-v1,z1-solvency-stable-v1,ff716126acee8e14992f7047bed61363405d7c7240f82f537537640f9689d243,42
